	larva(3)
mom_x(0)	1014
mom_x(1)	1015
mom_x(2)	1013
mom_x(3)	1013
mom_x(4)	1012
mom_x(5)	1011
mom_x(6)	1010
mom_x(7)	1009
mom_x(8)	1007
mom_x(9)	1005
mom_x(10)	1003
mom_x(11)	1002
mom_x(12)	1000
mom_x(13)	999
mom_x(14)	999
mom_x(15)	997
mom_x(16)	995
mom_x(17)	994
mom_x(18)	992
mom_x(19)	990
mom_x(20)	989
mom_x(21)	988
mom_x(22)	988
mom_x(23)	988
mom_x(24)	987
mom_x(25)	987
mom_x(26)	987
mom_x(27)	985
mom_x(28)	984
mom_x(29)	983
mom_x(30)	983
mom_x(31)	982
mom_x(32)	982
mom_x(33)	981
mom_x(34)	980
mom_x(35)	979
mom_x(36)	978
mom_x(37)	976
mom_x(38)	975
mom_x(39)	974
mom_x(40)	975
mom_x(41)	974
mom_x(42)	972
mom_x(43)	972
mom_x(44)	972
mom_x(45)	970
mom_x(46)	970
mom_x(47)	968
mom_x(48)	968
mom_x(49)	967
mom_x(50)	967
mom_x(51)	966
mom_x(52)	965
mom_x(53)	965
mom_x(54)	964
mom_x(55)	963
mom_x(56)	962
mom_x(57)	960
mom_x(58)	959
mom_x(59)	958
mom_x(60)	956
mom_x(61)	954
mom_x(62)	953
mom_x(63)	952
mom_x(64)	951
mom_x(65)	951
mom_x(66)	950
mom_x(67)	949
mom_x(68)	948
mom_x(69)	948
mom_x(70)	947
mom_x(71)	947
mom_x(72)	947
mom_x(73)	945
mom_x(74)	944
mom_x(75)	944
mom_x(76)	945
mom_x(77)	944
mom_x(78)	943
mom_x(79)	942
mom_x(80)	941
mom_x(81)	941
mom_x(82)	940
mom_x(83)	940
mom_x(84)	939
mom_x(85)	938
mom_x(86)	938
mom_x(87)	937
mom_x(88)	938
mom_x(89)	937
mom_x(90)	937
mom_x(91)	936
mom_x(92)	935
mom_x(93)	935
mom_x(94)	934
mom_x(95)	933
mom_x(96)	932
mom_x(97)	930
mom_x(98)	927
mom_x(99)	926
mom_x(100)	926
mom_x(101)	926
mom_x(102)	925
mom_x(103)	924
mom_x(104)	925
mom_x(105)	925
mom_x(106)	924
mom_x(107)	924
mom_x(108)	924
mom_x(109)	923
mom_x(110)	923
mom_x(111)	923
mom_x(112)	923
mom_x(113)	923
mom_x(114)	923
mom_x(115)	924
mom_x(116)	924
mom_x(117)	924
mom_x(118)	924
mom_x(119)	924
mom_x(120)	924
mom_x(121)	923
mom_x(122)	923
mom_x(123)	923
mom_x(124)	923
mom_x(125)	923
mom_x(126)	923
mom_x(127)	923
mom_x(128)	924
mom_x(129)	923
mom_x(130)	923
mom_x(131)	923
mom_x(132)	923
mom_x(133)	923
mom_x(134)	923
mom_x(135)	923
mom_x(136)	923
mom_x(137)	922
mom_x(138)	923
mom_x(139)	922
mom_x(140)	922
mom_x(141)	921
mom_x(142)	920
mom_x(143)	920
mom_x(144)	920
mom_x(145)	919
mom_x(146)	919
mom_x(147)	919
mom_x(148)	919
mom_x(149)	920
mom_x(150)	920
mom_x(151)	919
mom_x(152)	919
mom_x(153)	919
mom_x(154)	919
mom_x(155)	919
mom_x(156)	919
mom_x(157)	919
mom_x(158)	920
mom_x(159)	920
mom_x(160)	919
mom_x(161)	919
mom_x(162)	919
mom_x(163)	919
mom_x(164)	919
mom_x(165)	919
mom_x(166)	919
mom_x(167)	919
mom_x(168)	919
mom_x(169)	919
mom_x(170)	919
mom_x(171)	919
mom_x(172)	919
mom_x(173)	920
mom_x(174)	919
mom_x(175)	919
mom_x(176)	919
mom_x(177)	919
mom_x(178)	919
mom_x(179)	919
mom_x(180)	919
mom_x(181)	919
mom_x(182)	919
mom_x(183)	919
mom_x(184)	918
mom_x(185)	919
mom_x(186)	919
mom_x(187)	919
mom_x(188)	919
mom_x(189)	919
mom_x(190)	919
mom_x(191)	919
mom_x(192)	918
mom_x(193)	918
mom_x(194)	918
mom_x(195)	918
mom_x(196)	918
mom_x(197)	917
mom_x(198)	917
mom_x(199)	918
mom_x(200)	918
mom_x(201)	917
mom_x(202)	917
mom_x(203)	917
mom_x(204)	916
mom_x(205)	916
mom_x(206)	916
mom_x(207)	916
mom_x(208)	916
mom_x(209)	916
mom_x(210)	916
mom_x(211)	916
mom_x(212)	916
mom_x(213)	916
mom_x(214)	916
mom_x(215)	915
mom_x(216)	914
mom_x(217)	914
mom_x(218)	915
mom_x(219)	915
mom_x(220)	914
mom_x(221)	914
mom_x(222)	915
mom_x(223)	914
mom_x(224)	914
mom_x(225)	914
mom_x(226)	914
mom_x(227)	914
mom_x(228)	914
mom_x(229)	914
mom_x(230)	914
mom_x(231)	914
mom_x(232)	914
mom_x(233)	914
mom_x(234)	913
mom_x(235)	913
mom_x(236)	913
mom_x(237)	913
mom_x(238)	913
mom_x(239)	913
