	larva(3)
mom_x(240)	912
mom_x(241)	912
mom_x(242)	912
mom_x(243)	912
mom_x(244)	912
mom_x(245)	912
mom_x(246)	911
mom_x(247)	911
mom_x(248)	912
mom_x(249)	911
mom_x(250)	911
mom_x(251)	911
mom_x(252)	911
mom_x(253)	911
mom_x(254)	911
mom_x(255)	911
mom_x(256)	911
mom_x(257)	911
mom_x(258)	911
mom_x(259)	911
mom_x(260)	911
mom_x(261)	910
mom_x(262)	910
mom_x(263)	910
mom_x(264)	910
mom_x(265)	910
mom_x(266)	910
mom_x(267)	910
mom_x(268)	909
mom_x(269)	910
mom_x(270)	909
mom_x(271)	910
mom_x(272)	909
mom_x(273)	909
mom_x(274)	909
mom_x(275)	909
mom_x(276)	909
mom_x(277)	910
mom_x(278)	910
mom_x(279)	909
mom_x(280)	910
mom_x(281)	910
mom_x(282)	909
mom_x(283)	909
mom_x(284)	909
mom_x(285)	909
mom_x(286)	909
mom_x(287)	909
mom_x(288)	910
mom_x(289)	909
mom_x(290)	909
mom_x(291)	910
mom_x(292)	910
mom_x(293)	909
mom_x(294)	909
mom_x(295)	909
mom_x(296)	910
mom_x(297)	909
mom_x(298)	909
mom_x(299)	909
mom_x(300)	909
mom_x(301)	909
mom_x(302)	909
mom_x(303)	909
mom_x(304)	909
mom_x(305)	909
mom_x(306)	909
mom_x(307)	909
mom_x(308)	909
mom_x(309)	909
mom_x(310)	909
mom_x(311)	909
mom_x(312)	909
mom_x(313)	909
mom_x(314)	909
mom_x(315)	909
mom_x(316)	909
mom_x(317)	909
mom_x(318)	909
mom_x(319)	909
mom_x(320)	909
mom_x(321)	909
mom_x(322)	909
mom_x(323)	909
mom_x(324)	909
mom_x(325)	909
mom_x(326)	909
mom_x(327)	909
mom_x(328)	909
mom_x(329)	909
mom_x(330)	909
mom_x(331)	909
mom_x(332)	908
mom_x(333)	909
mom_x(334)	908
mom_x(335)	909
mom_x(336)	908
mom_x(337)	909
mom_x(338)	908
mom_x(339)	908
mom_x(340)	909
mom_x(341)	909
mom_x(342)	909
mom_x(343)	909
mom_x(344)	908
mom_x(345)	909
mom_x(346)	908
mom_x(347)	908
mom_x(348)	908
mom_x(349)	908
mom_x(350)	908
mom_x(351)	908
mom_x(352)	908
mom_x(353)	908
mom_x(354)	908
mom_x(355)	908
mom_x(356)	908
mom_x(357)	908
mom_x(358)	909
mom_x(359)	908
mom_x(360)	908
mom_x(361)	908
mom_x(362)	909
mom_x(363)	909
mom_x(364)	908
mom_x(365)	908
mom_x(366)	909
mom_x(367)	909
mom_x(368)	909
mom_x(369)	909
mom_x(370)	909
mom_x(371)	909
mom_x(372)	908
mom_x(373)	908
mom_x(374)	909
mom_x(375)	908
mom_x(376)	908
mom_x(377)	908
mom_x(378)	908
mom_x(379)	908
mom_x(380)	908
mom_x(381)	908
mom_x(382)	908
mom_x(383)	908
mom_x(384)	908
mom_x(385)	908
mom_x(386)	908
mom_x(387)	908
mom_x(388)	908
mom_x(389)	908
mom_x(390)	908
mom_x(391)	908
mom_x(392)	908
mom_x(393)	908
mom_x(394)	908
mom_x(395)	908
mom_x(396)	908
mom_x(397)	908
mom_x(398)	909
mom_x(399)	909
mom_x(400)	909
mom_x(401)	909
mom_x(402)	910
mom_x(403)	909
mom_x(404)	909
mom_x(405)	909
mom_x(406)	909
mom_x(407)	908
mom_x(408)	908
mom_x(409)	908
mom_x(410)	908
mom_x(411)	908
mom_x(412)	908
mom_x(413)	908
mom_x(414)	908
mom_x(415)	908
mom_x(416)	908
mom_x(417)	908
mom_x(418)	908
mom_x(419)	908
mom_x(420)	908
mom_x(421)	908
mom_x(422)	908
mom_x(423)	908
mom_x(424)	908
mom_x(425)	908
mom_x(426)	908
mom_x(427)	908
mom_x(428)	908
mom_x(429)	908
mom_x(430)	908
mom_x(431)	908
mom_x(432)	908
mom_x(433)	908
mom_x(434)	908
mom_x(435)	909
mom_x(436)	909
mom_x(437)	909
mom_x(438)	909
mom_x(439)	908
mom_x(440)	909
mom_x(441)	909
mom_x(442)	909
mom_x(443)	909
mom_x(444)	909
mom_x(445)	910
mom_x(446)	910
mom_x(447)	910
mom_x(448)	910
mom_x(449)	910
mom_x(450)	909
mom_x(451)	909
mom_x(452)	909
mom_x(453)	909
mom_x(454)	909
mom_x(455)	909
mom_x(456)	909
mom_x(457)	909
mom_x(458)	909
mom_x(459)	909
mom_x(460)	909
mom_x(461)	909
mom_x(462)	909
mom_x(463)	909
mom_x(464)	909
mom_x(465)	909
mom_x(466)	909
mom_x(467)	909
mom_x(468)	909
mom_x(469)	909
mom_x(470)	909
mom_x(471)	909
mom_x(472)	909
mom_x(473)	909
mom_x(474)	909
mom_x(475)	909
mom_x(476)	909
mom_x(477)	909
mom_x(478)	908
mom_x(479)	911
mom_x(480)	908
mom_x(481)	909
mom_x(482)	909
mom_x(483)	909
mom_x(484)	909
mom_x(485)	909
mom_x(486)	910
mom_x(487)	909
mom_x(488)	910
mom_x(489)	910
mom_x(490)	909
mom_x(491)	910
mom_x(492)	910
mom_x(493)	909
mom_x(494)	909
mom_x(495)	909
mom_x(496)	909
mom_x(497)	909
mom_x(498)	909
mom_x(499)	909
mom_x(500)	909
mom_x(501)	909
mom_x(502)	909
mom_x(503)	909
mom_x(504)	909
mom_x(505)	909
mom_x(506)	909
mom_x(507)	910
mom_x(508)	910
mom_x(509)	910
mom_x(510)	910
mom_x(511)	910
mom_x(512)	910
mom_x(513)	910
mom_x(514)	909
mom_x(515)	910
mom_x(516)	910
mom_x(517)	910
mom_x(518)	910
mom_x(519)	910
mom_x(520)	911
mom_x(521)	911
mom_x(522)	911
mom_x(523)	911
mom_x(524)	911
mom_x(525)	911
mom_x(526)	911
mom_x(527)	911
mom_x(528)	910
mom_x(529)	910
mom_x(530)	910
mom_x(531)	909
mom_x(532)	909
mom_x(533)	909
mom_x(534)	909
mom_x(535)	910
mom_x(536)	910
mom_x(537)	910
mom_x(538)	910
mom_x(539)	910
mom_x(540)	910
mom_x(541)	910
mom_x(542)	910
mom_x(543)	910
mom_x(544)	910
mom_x(545)	910
mom_x(546)	910
mom_x(547)	910
mom_x(548)	910
mom_x(549)	910
mom_x(550)	910
mom_x(551)	910
mom_x(552)	910
mom_x(553)	910
mom_x(554)	910
mom_x(555)	910
mom_x(556)	910
mom_x(557)	910
mom_x(558)	910
mom_x(559)	910
mom_x(560)	910
mom_x(561)	910
mom_x(562)	910
mom_x(563)	910
mom_x(564)	910
mom_x(565)	910
mom_x(566)	910
mom_x(567)	910
mom_x(568)	910
mom_x(569)	910
mom_x(570)	910
mom_x(571)	911
mom_x(572)	911
mom_x(573)	911
mom_x(574)	911
mom_x(575)	912
mom_x(576)	912
mom_x(577)	913
mom_x(578)	913
mom_x(579)	913
mom_x(580)	913
mom_x(581)	913
mom_x(582)	914
mom_x(583)	915
mom_x(584)	914
mom_x(585)	914
mom_x(586)	915
mom_x(587)	915
mom_x(588)	915
mom_x(589)	916
mom_x(590)	916
mom_x(591)	916
mom_x(592)	917
mom_x(593)	917
mom_x(594)	917
mom_x(595)	917
mom_x(596)	916
mom_x(597)	916
mom_x(598)	916
mom_x(599)	916
mom_x(600)	916
mom_x(601)	916
mom_x(602)	915
mom_x(603)	915
mom_x(604)	915
mom_x(605)	915
mom_x(606)	915
mom_x(607)	915
mom_x(608)	915
mom_x(609)	914
mom_x(610)	914
mom_x(611)	914
mom_x(612)	914
mom_x(613)	914
mom_x(614)	914
mom_x(615)	913
mom_x(616)	913
mom_x(617)	913
mom_x(618)	913
mom_x(619)	913
mom_x(620)	913
mom_x(621)	913
mom_x(622)	913
mom_x(623)	913
mom_x(624)	912
mom_x(625)	912
mom_x(626)	911
mom_x(627)	911
mom_x(628)	911
mom_x(629)	910
mom_x(630)	910
mom_x(631)	910
mom_x(632)	911
mom_x(633)	912
mom_x(634)	913
mom_x(635)	913
mom_x(636)	913
mom_x(637)	912
mom_x(638)	911
mom_x(639)	911
mom_x(640)	910
mom_x(641)	908
mom_x(642)	907
mom_x(643)	907
mom_x(644)	906
mom_x(645)	906
mom_x(646)	905
mom_x(647)	904
mom_x(648)	903
mom_x(649)	904
mom_x(650)	905
mom_x(651)	905
mom_x(652)	905
mom_x(653)	905
mom_x(654)	903
mom_x(655)	902
mom_x(656)	902
mom_x(657)	902
mom_x(658)	902
mom_x(659)	901
mom_x(660)	901
mom_x(661)	902
mom_x(662)	901
mom_x(663)	901
mom_x(664)	900
mom_x(665)	900
mom_x(666)	898
mom_x(667)	898
mom_x(668)	896
mom_x(669)	895
mom_x(670)	896
mom_x(671)	896
mom_x(672)	897
mom_x(673)	897
mom_x(674)	896
mom_x(675)	895
mom_x(676)	895
mom_x(677)	895
mom_x(678)	894
mom_x(679)	894
mom_x(680)	893
mom_x(681)	893
mom_x(682)	893
mom_x(683)	892
mom_x(684)	892
mom_x(685)	892
mom_x(686)	892
mom_x(687)	892
mom_x(688)	892
mom_x(689)	892
mom_x(690)	893
mom_x(691)	892
mom_x(692)	891
mom_x(693)	890
mom_x(694)	891
mom_x(695)	890
mom_x(696)	891
mom_x(697)	891
mom_x(698)	892
mom_x(699)	892
mom_x(700)	892
mom_x(701)	892
mom_x(702)	893
mom_x(703)	894
mom_x(704)	895
mom_x(705)	898
mom_x(706)	899
mom_x(707)	900
mom_x(708)	901
mom_x(709)	901
mom_x(710)	901
mom_x(711)	901
mom_x(712)	900
mom_x(713)	899
mom_x(714)	899
mom_x(715)	898
mom_x(716)	898
mom_x(717)	897
mom_x(718)	897
mom_x(719)	897
mom_x(720)	897
mom_x(721)	897
mom_x(722)	897
mom_x(723)	896
mom_x(724)	896
mom_x(725)	895
mom_x(726)	894
mom_x(727)	893
mom_x(728)	892
mom_x(729)	891
mom_x(730)	893
mom_x(731)	894
mom_x(732)	894
mom_x(733)	894
mom_x(734)	894
mom_x(735)	893
mom_x(736)	893
mom_x(737)	892
mom_x(738)	891
mom_x(739)	890
mom_x(740)	890
mom_x(741)	889
mom_x(742)	887
mom_x(743)	888
mom_x(744)	889
mom_x(745)	889
mom_x(746)	889
mom_x(747)	888
mom_x(748)	888
mom_x(749)	888
mom_x(750)	888
mom_x(751)	888
mom_x(752)	887
mom_x(753)	887
mom_x(754)	887
mom_x(755)	886
mom_x(756)	885
mom_x(757)	885
mom_x(758)	883
mom_x(759)	881
mom_x(760)	882
mom_x(761)	884
mom_x(762)	884
mom_x(763)	884
mom_x(764)	883
mom_x(765)	883
mom_x(766)	883
mom_x(767)	883
mom_x(768)	882
mom_x(769)	882
mom_x(770)	882
mom_x(771)	882
mom_x(772)	882
mom_x(773)	882
mom_x(774)	882
mom_x(775)	881
mom_x(776)	881
mom_x(777)	880
mom_x(778)	879
mom_x(779)	877
mom_x(780)	877
mom_x(781)	877
mom_x(782)	879
mom_x(783)	881
mom_x(784)	881
mom_x(785)	881
mom_x(786)	883
mom_x(787)	884
mom_x(788)	885
mom_x(789)	885
mom_x(790)	885
mom_x(791)	885
mom_x(792)	884
mom_x(793)	884
mom_x(794)	883
mom_x(795)	882
mom_x(796)	882
mom_x(797)	882
mom_x(798)	881
mom_x(799)	881
mom_x(800)	881
mom_x(801)	881
mom_x(802)	881
mom_x(803)	881
mom_x(804)	881
mom_x(805)	881
mom_x(806)	881
mom_x(807)	882
mom_x(808)	883
mom_x(809)	884
mom_x(810)	884
mom_x(811)	885
mom_x(812)	884
mom_x(813)	881
mom_x(814)	880
mom_x(815)	880
mom_x(816)	881
mom_x(817)	880
mom_x(818)	879
mom_x(819)	879
mom_x(820)	878
mom_x(821)	877
mom_x(822)	876
mom_x(823)	875
mom_x(824)	875
mom_x(825)	875
mom_x(826)	874
mom_x(827)	874
mom_x(828)	873
mom_x(829)	872
mom_x(830)	872
mom_x(831)	873
mom_x(832)	873
mom_x(833)	873
mom_x(834)	873
mom_x(835)	874
mom_x(836)	876
mom_x(837)	878
mom_x(838)	879
mom_x(839)	880
mom_x(840)	881
mom_x(841)	882
mom_x(842)	883
mom_x(843)	884
mom_x(844)	885
mom_x(845)	886
mom_x(846)	887
mom_x(847)	888
mom_x(848)	889
mom_x(849)	890
mom_x(850)	892
mom_x(851)	893
mom_x(852)	893
mom_x(853)	894
mom_x(854)	894
mom_x(855)	895
mom_x(856)	895
mom_x(857)	897
mom_x(858)	896
mom_x(859)	897
mom_x(860)	897
mom_x(861)	897
mom_x(862)	897
mom_x(863)	898
mom_x(864)	898
mom_x(865)	900
mom_x(866)	900
mom_x(867)	900
mom_x(868)	901
mom_x(869)	902
mom_x(870)	902
mom_x(871)	903
mom_x(872)	906
mom_x(873)	905
mom_x(874)	906
mom_x(875)	906
mom_x(876)	907
mom_x(877)	907
mom_x(878)	907
mom_x(879)	907
mom_x(880)	908
mom_x(881)	908
mom_x(882)	907
mom_x(883)	907
mom_x(884)	907
mom_x(885)	908
mom_x(886)	909
mom_x(887)	909
mom_x(888)	910
mom_x(889)	911
mom_x(890)	911
mom_x(891)	911
mom_x(892)	912
mom_x(893)	913
mom_x(894)	913
mom_x(895)	914
mom_x(896)	914
mom_x(897)	914
mom_x(898)	914
mom_x(899)	915
mom_x(900)	915
mom_x(901)	915
mom_x(902)	913
mom_x(903)	914
mom_x(904)	916
mom_x(905)	918
mom_x(906)	918
mom_x(907)	919
mom_x(908)	919
mom_x(909)	919
mom_x(910)	920
mom_x(911)	920
mom_x(912)	920
mom_x(913)	920
mom_x(914)	921
mom_x(915)	921
mom_x(916)	921
mom_x(917)	920
mom_x(918)	917
mom_x(919)	918
mom_x(920)	918
mom_x(921)	918
mom_x(922)	919
mom_x(923)	918
mom_x(924)	918
mom_x(925)	919
mom_x(926)	920
mom_x(927)	921
mom_x(928)	921
mom_x(929)	922
mom_x(930)	923
mom_x(931)	923
mom_x(932)	924
mom_x(933)	923
mom_x(934)	922
mom_x(935)	921
mom_x(936)	920
mom_x(937)	921
mom_x(938)	921
mom_x(939)	920
mom_x(940)	918
mom_x(941)	914
mom_x(942)	914
mom_x(943)	915
mom_x(944)	915
mom_x(945)	915
mom_x(946)	916
mom_x(947)	915
mom_x(948)	914
mom_x(949)	912
mom_x(950)	911
mom_x(951)	910
mom_x(952)	909
mom_x(953)	908
mom_x(954)	908
mom_x(955)	907
mom_x(956)	906
mom_x(957)	905
mom_x(958)	904
mom_x(959)	903
mom_x(960)	903
mom_x(961)	902
mom_x(962)	901
mom_x(963)	901
mom_x(964)	901
mom_x(965)	900
mom_x(966)	899
mom_x(967)	899
mom_x(968)	898
mom_x(969)	897
mom_x(970)	897
mom_x(971)	897
mom_x(972)	896
mom_x(973)	896
mom_x(974)	895
mom_x(975)	893
mom_x(976)	893
mom_x(977)	892
mom_x(978)	892
mom_x(979)	892
mom_x(980)	892
mom_x(981)	892
mom_x(982)	893
mom_x(983)	892
mom_x(984)	892
mom_x(985)	892
mom_x(986)	892
mom_x(987)	892
mom_x(988)	891
mom_x(989)	892
mom_x(990)	892
mom_x(991)	891
mom_x(992)	891
mom_x(993)	892
mom_x(994)	892
mom_x(995)	891
mom_x(996)	891
mom_x(997)	891
mom_x(998)	890
mom_x(999)	890
mom_x(1000)	890
mom_x(1001)	889
mom_x(1002)	890
mom_x(1003)	889
mom_x(1004)	889
mom_x(1005)	888
mom_x(1006)	888
mom_x(1007)	888
mom_x(1008)	887
mom_x(1009)	887
mom_x(1010)	887
mom_x(1011)	886
mom_x(1012)	886
mom_x(1013)	886
mom_x(1014)	885
mom_x(1015)	885
mom_x(1016)	885
mom_x(1017)	884
mom_x(1018)	884
mom_x(1019)	884
mom_x(1020)	883
mom_x(1021)	882
mom_x(1022)	882
mom_x(1023)	883
mom_x(1024)	883
mom_x(1025)	882
mom_x(1026)	881
mom_x(1027)	881
mom_x(1028)	880
mom_x(1029)	879
mom_x(1030)	879
mom_x(1031)	877
mom_x(1032)	876
mom_x(1033)	876
mom_x(1034)	876
mom_x(1035)	876
mom_x(1036)	875
mom_x(1037)	875
mom_x(1038)	875
mom_x(1039)	874
mom_x(1040)	874
mom_x(1041)	874
mom_x(1042)	873
mom_x(1043)	872
mom_x(1044)	872
mom_x(1045)	873
mom_x(1046)	873
mom_x(1047)	873
mom_x(1048)	872
mom_x(1049)	872
mom_x(1050)	871
mom_x(1051)	870
mom_x(1052)	869
mom_x(1053)	867
mom_x(1054)	867
mom_x(1055)	866
mom_x(1056)	865
mom_x(1057)	865
mom_x(1058)	864
mom_x(1059)	864
mom_x(1060)	862
mom_x(1061)	862
mom_x(1062)	862
mom_x(1063)	861
mom_x(1064)	860
mom_y(0)	764
mom_y(1)	764
mom_y(2)	764
mom_y(3)	764
mom_y(4)	763
mom_y(5)	761
mom_y(6)	762
mom_y(7)	762
mom_y(8)	762
mom_y(9)	761
mom_y(10)	762
mom_y(11)	761
mom_y(12)	761
mom_y(13)	762
mom_y(14)	762
mom_y(15)	762
mom_y(16)	762
mom_y(17)	762
mom_y(18)	767
mom_y(19)	765
mom_y(20)	760
mom_y(21)	760
mom_y(22)	760
mom_y(23)	760
mom_y(24)	760
mom_y(25)	760
mom_y(26)	760
mom_y(27)	759
mom_y(28)	759
mom_y(29)	758
mom_y(30)	763
mom_y(31)	764
mom_y(32)	764
mom_y(33)	763
mom_y(34)	763
mom_y(35)	762
mom_y(36)	763
mom_y(37)	763
mom_y(38)	763
mom_y(39)	763
mom_y(40)	770
mom_y(41)	769
mom_y(42)	769
mom_y(43)	770
mom_y(44)	770
mom_y(45)	771
mom_y(46)	771
mom_y(47)	771
mom_y(48)	771
mom_y(49)	772
mom_y(50)	773
mom_y(51)	774
mom_y(52)	774
mom_y(53)	775
mom_y(54)	774
mom_y(55)	775
mom_y(56)	774
mom_y(57)	774
mom_y(58)	774
mom_y(59)	775
mom_y(60)	776
mom_y(61)	777
mom_y(62)	778
mom_y(63)	778
mom_y(64)	780
mom_y(65)	780
mom_y(66)	778
mom_y(67)	778
mom_y(68)	778
mom_y(69)	777
mom_y(70)	777
mom_y(71)	777
mom_y(72)	777
mom_y(73)	778
mom_y(74)	778
mom_y(75)	779
mom_y(76)	779
mom_y(77)	778
mom_y(78)	778
mom_y(79)	778
mom_y(80)	778
mom_y(81)	778
mom_y(82)	778
mom_y(83)	778
mom_y(84)	778
mom_y(85)	778
mom_y(86)	778
mom_y(87)	779
mom_y(88)	777
mom_y(89)	778
mom_y(90)	778
mom_y(91)	777
mom_y(92)	777
mom_y(93)	778
mom_y(94)	778
mom_y(95)	778
mom_y(96)	777
mom_y(97)	778
mom_y(98)	782
mom_y(99)	781
mom_y(100)	779
mom_y(101)	777
mom_y(102)	777
mom_y(103)	777
mom_y(104)	777
mom_y(105)	778
mom_y(106)	778
mom_y(107)	778
mom_y(108)	778
mom_y(109)	778
mom_y(110)	778
mom_y(111)	778
mom_y(112)	778
mom_y(113)	778
mom_y(114)	778
mom_y(115)	778
mom_y(116)	778
mom_y(117)	778
mom_y(118)	778
mom_y(119)	778
mom_y(120)	778
mom_y(121)	778
mom_y(122)	778
mom_y(123)	778
mom_y(124)	778
mom_y(125)	778
mom_y(126)	778
mom_y(127)	778
mom_y(128)	778
mom_y(129)	778
mom_y(130)	780
mom_y(131)	783
mom_y(132)	783
mom_y(133)	783
mom_y(134)	783
mom_y(135)	784
mom_y(136)	784
mom_y(137)	784
mom_y(138)	784
mom_y(139)	784
mom_y(140)	784
mom_y(141)	784
mom_y(142)	783
mom_y(143)	783
mom_y(144)	782
mom_y(145)	782
mom_y(146)	781
mom_y(147)	780
mom_y(148)	778
mom_y(149)	776
mom_y(150)	775
mom_y(151)	771
mom_y(152)	769
mom_y(153)	769
mom_y(154)	769
mom_y(155)	769
mom_y(156)	769
mom_y(157)	769
mom_y(158)	769
mom_y(159)	770
mom_y(160)	770
mom_y(161)	770
mom_y(162)	770
mom_y(163)	770
mom_y(164)	770
mom_y(165)	770
mom_y(166)	770
mom_y(167)	770
mom_y(168)	770
mom_y(169)	770
mom_y(170)	770
mom_y(171)	770
mom_y(172)	769
mom_y(173)	769
mom_y(174)	769
mom_y(175)	769
mom_y(176)	770
mom_y(177)	769
mom_y(178)	769
mom_y(179)	768
mom_y(180)	767
mom_y(181)	767
mom_y(182)	767
mom_y(183)	767
mom_y(184)	767
mom_y(185)	767
mom_y(186)	767
mom_y(187)	767
mom_y(188)	767
mom_y(189)	767
mom_y(190)	767
mom_y(191)	767
mom_y(192)	768
mom_y(193)	768
mom_y(194)	769
mom_y(195)	769
mom_y(196)	768
mom_y(197)	768
mom_y(198)	768
mom_y(199)	769
mom_y(200)	769
mom_y(201)	769
mom_y(202)	770
mom_y(203)	769
mom_y(204)	769
mom_y(205)	769
mom_y(206)	769
mom_y(207)	768
mom_y(208)	768
mom_y(209)	768
mom_y(210)	768
mom_y(211)	768
mom_y(212)	767
mom_y(213)	767
mom_y(214)	767
mom_y(215)	766
mom_y(216)	767
mom_y(217)	767
mom_y(218)	767
mom_y(219)	766
mom_y(220)	766
mom_y(221)	766
mom_y(222)	766
mom_y(223)	766
mom_y(224)	766
mom_y(225)	765
mom_y(226)	765
mom_y(227)	765
mom_y(228)	765
mom_y(229)	765
mom_y(230)	765
mom_y(231)	765
mom_y(232)	765
mom_y(233)	765
mom_y(234)	765
mom_y(235)	764
mom_y(236)	763
mom_y(237)	763
mom_y(238)	763
mom_y(239)	763
mom_y(240)	763
mom_y(241)	763
mom_y(242)	763
mom_y(243)	763
mom_y(244)	763
mom_y(245)	763
mom_y(246)	763
mom_y(247)	763
mom_y(248)	763
mom_y(249)	763
mom_y(250)	763
mom_y(251)	763
mom_y(252)	763
mom_y(253)	763
mom_y(254)	763
mom_y(255)	763
mom_y(256)	763
mom_y(257)	764
mom_y(258)	764
mom_y(259)	764
mom_y(260)	763
mom_y(261)	763
mom_y(262)	763
mom_y(263)	763
mom_y(264)	762
mom_y(265)	762
mom_y(266)	762
mom_y(267)	762
mom_y(268)	762
mom_y(269)	762
mom_y(270)	762
mom_y(271)	762
mom_y(272)	762
mom_y(273)	762
mom_y(274)	762
mom_y(275)	762
mom_y(276)	761
mom_y(277)	761
mom_y(278)	761
mom_y(279)	761
mom_y(280)	761
mom_y(281)	761
mom_y(282)	761
mom_y(283)	761
mom_y(284)	761
mom_y(285)	761
mom_y(286)	761
mom_y(287)	760
mom_y(288)	761
mom_y(289)	760
mom_y(290)	760
mom_y(291)	760
mom_y(292)	760
mom_y(293)	760
mom_y(294)	760
mom_y(295)	760
mom_y(296)	760
mom_y(297)	760
mom_y(298)	760
mom_y(299)	759
mom_y(300)	759
mom_y(301)	760
mom_y(302)	760
mom_y(303)	760
mom_y(304)	760
mom_y(305)	760
mom_y(306)	760
mom_y(307)	760
mom_y(308)	760
mom_y(309)	760
mom_y(310)	760
mom_y(311)	760
mom_y(312)	760
mom_y(313)	760
mom_y(314)	760
mom_y(315)	760
mom_y(316)	760
mom_y(317)	760
mom_y(318)	761
mom_y(319)	761
mom_y(320)	761
mom_y(321)	761
mom_y(322)	762
mom_y(323)	762
mom_y(324)	762
