	larva(0)
mom_x(316)	859
mom_x(317)	859
mom_x(318)	859
mom_x(319)	860
mom_x(320)	860
mom_x(321)	860
mom_x(322)	860
mom_x(323)	860
mom_x(324)	860
mom_x(325)	860
mom_x(326)	861
mom_x(327)	861
mom_x(328)	861
mom_x(329)	862
mom_x(330)	862
mom_x(331)	862
mom_x(332)	862
mom_x(333)	862
mom_x(334)	862
mom_x(335)	862
mom_x(336)	861
mom_x(337)	862
mom_x(338)	863
mom_x(339)	862
mom_x(340)	862
mom_x(341)	864
mom_x(342)	865
mom_x(343)	865
mom_x(344)	866
mom_x(345)	867
mom_x(346)	869
mom_x(347)	870
mom_x(348)	870
mom_x(349)	870
mom_x(350)	870
mom_x(351)	870
mom_x(352)	870
mom_x(353)	870
mom_x(354)	870
mom_x(355)	870
mom_x(356)	870
mom_x(357)	869
mom_x(358)	870
mom_x(359)	869
mom_x(360)	869
mom_x(361)	869
mom_x(362)	869
mom_x(363)	868
mom_x(364)	869
mom_x(365)	869
mom_x(366)	869
mom_x(367)	869
mom_x(368)	869
mom_x(369)	870
mom_x(370)	870
mom_x(371)	870
mom_x(372)	870
mom_x(373)	870
mom_x(374)	871
mom_x(375)	871
mom_x(376)	872
mom_x(377)	872
mom_x(378)	872
mom_x(379)	873
mom_x(380)	873
mom_x(381)	872
mom_x(382)	872
mom_x(383)	872
mom_x(384)	871
mom_x(385)	871
mom_x(386)	871
mom_x(387)	872
mom_x(388)	874
mom_x(389)	874
mom_x(390)	874
mom_x(391)	874
mom_x(392)	874
mom_x(393)	875
mom_x(394)	875
mom_x(395)	876
mom_x(396)	876
mom_x(397)	876
mom_x(398)	877
mom_x(399)	877
mom_x(400)	877
mom_x(401)	877
mom_x(402)	877
mom_x(403)	878
mom_x(404)	878
mom_x(405)	879
mom_x(406)	879
mom_x(407)	879
mom_x(408)	879
mom_x(409)	879
mom_x(410)	878
mom_x(411)	876
mom_x(412)	877
mom_x(413)	877
mom_x(414)	876
mom_x(415)	876
mom_x(416)	877
mom_x(417)	877
mom_x(418)	877
mom_x(419)	876
mom_x(420)	876
mom_x(421)	876
mom_x(422)	877
mom_x(423)	878
mom_x(424)	878
mom_x(425)	878
mom_x(426)	878
mom_x(427)	878
mom_x(428)	878
mom_x(429)	878
mom_x(430)	879
mom_x(431)	879
mom_x(432)	879
mom_x(433)	879
mom_x(434)	879
mom_x(435)	878
mom_x(436)	877
mom_x(437)	876
mom_x(438)	878
mom_x(439)	879
mom_x(440)	880
mom_x(441)	881
mom_x(442)	882
mom_x(443)	883
mom_x(444)	885
mom_x(445)	887
mom_x(446)	886
mom_x(447)	885
mom_x(448)	885
mom_x(449)	885
mom_x(450)	884
mom_x(451)	885
mom_x(452)	885
mom_x(453)	884
mom_x(454)	885
mom_x(455)	885
mom_x(456)	885
mom_x(457)	885
mom_x(458)	886
mom_x(459)	886
mom_x(460)	887
mom_x(461)	887
mom_x(462)	887
mom_x(463)	888
mom_x(464)	888
mom_x(465)	888
mom_x(466)	888
mom_x(467)	889
mom_x(468)	889
mom_x(469)	889
mom_x(470)	890
mom_x(471)	890
mom_x(472)	890
mom_x(473)	891
mom_x(474)	890
mom_x(475)	890
mom_x(476)	889
