O2 %	19,6	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,6	19,6	19,6	19,6	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5
Temp. [°C]	37,12	37,04	37,02	37,02	37,03	36,97	37,12	37,1	36,96	36,95	36,99	37,15	36,97	37,04	37,07	37,02	37,02	37,12	37	37,04	37,1	37,1	37,17	37,1	37,02	37,21	37,1	37,06	37,16	37,14	37	36,91	37,06	37,03	36,99	37,15	37,11	37,1	37,04	37,12	37	37,08	36,97	37,11	37,06	37,02	36,86	37,02	37,01
A1																																																	
A2	228	422	501	533	544	614	607	544	559	596	631	456	629	738	690	710	742	734	734	741	731	765	806	791	756	776	814	869	829	865	935	819	880	890	902	912	894	899	922	900	953	948	920	932	979	955	953	964	997
A3	198	428	513	539	550	575	598	518	628	602	602	445	731	705	730	792	768	775	701	739	775	786	819	810	838	870	838	912	827	842	905	815	871	970	894	905	910	909	1014	964	945	977	1019	996	1031	1013	1061	991	1055
A4	192	421	476	549	545	600	590	590	674	623	612	456	734	723	813	652	729	743	736	785	771	703	748	785	875	853	859	847	863	887	936	872	939	851	887	958	967	1067	927	1062	1027	1009	995	975	946	943	992	953	1056
A5	230	422	529	549	558	553	529	573	642	631	602	506	697	730	732	789	760	824	825	795	831	794	788	822	759	864	833	899	869	875	930	863	803	907	880	869	996	980	904	975	943	941	916	931	1004	938	1049	1007	981
A6																																																	
A7																																																	
A8																																																	
A9																																																	
A10																																																	
A11																																																	
A12																																																	
B1																																																	
B2	363	7813	13646	16929	18653	20311	21254	21824	22867	23792	23835	17174	23586	24750	25841	26680	26578	27008	26723	26432	26597	27194	26769	26984	27228	26525	26811	26994	27076	27159	27134	27151	27427	27720	27819	28058	27926	27928	27328	28808	27276	28638	29055	29340	29416	29376	29442	30039	29856
B3	461	7878	14624	18524	19475	20969	21910	22769	23702	24495	25025	19813	23762	25472	26974	28111	28214	29214	29199	29296	30268	30389	30587	30973	31215	31075	31528	30581	31936	31493	30135	31474	30367	30392	31386	31193	31004	32164	31663	31603	32201	32159	32811	31960	32521	31556	34355	33989	33454
B4	447	4570	8672	12661	16078	18180	19558	20566	21428	21968	22670	15196	23779	24739	25237	25851	25888	26164	26402	27030	27106	27092	27537	27571	27616	27975	27904	27785	28039	28100	29083	28106	28132	28841	28940	29198	29024	28266	28881	29327	29144	29177	29435	29234	29220	29914	29646	29871	30221
B5	352	1810	3254	4494	5540	6052	6290	6810	6851	7096	7155	4552	7631	7846	8081	7958	7944	8249	8175	8205	8239	8158	8227	8617	8523	8700	8453	8761	8866	8694	8767	8745	8634	8930	8990	8939	9044	9100	9039	9056	9080	9313	9166	9288	9242	9134	9382	9284	9390
B6	409	4530	8391	12106	15404	17434	18668	19828	20573	21593	21924	13127	24676	23979	23793	22765	21673	20602	19619	19094	18713	18639	18955	19189	18617	18919	19182	18965	19063	19021	19003	18851	19123	19179	19118	18987	19031	18751	19130	19231	19107	19089	18981	19070	18863	19400	19211	19264	18951
B7	459	4221	8178	11455	14675	16673	17839	19510	20436	21509	21416	13591	24473	24484	24294	24312	24044	23297	22772	23116	22941	23000	23299	23125	23677	23675	23947	24072	24465	24274	24255	24050	24712	24714	24558	24896	24863	24860	25215	25333	25191	25698	25258	25360	25206	25437	25046	25605	25662
B8	495	4963	9361	12087	14579	16403	17895	18894	19866	20774	21320	13748	21688	22631	23005	23288	23467	23815	23827	24266	24365	24339	24677	25102	24863	25000	25575	25499	25674	25767	25718	25401	25637	25905	26188	26437	26236	26311	26552	26297	26369	26680	26781	27097	26848	27127	27100	26963	27172
B9	450	4311	7953	10695	12668	14476	15656	16514	17747	18067	19179	12555	19361	20601	20740	21011	21327	21753	21940	22076	22303	23009	23226	22721	23341	23149	23516	23786	23453	23859	24037	23709	24050	23934	24338	24157	24690	24516	24714	24768	24637	24843	25085	25170	25032	25495	25170	25293	25345
B10	403	4830	8590	11738	14272	16355	17571	18891	19841	20735	21264	13138	23067	22608	21947	22073	21032	20873	20206	20163	20005	20185	19841	20220	20038	20459	20595	20387	20617	20736	20708	20492	20663	20844	20716	20923	20727	20618	20790	20586	20747	20642	20970	20834	20889	20782	20864	21079	21027
B11	415	3311	6660	9003	11123	12378	13502	14431	15732	16435	16704	10964	18428	18605	18344	18571	17697	16857	16615	16413	16313	16338	16154	16421	16483	16589	16900	16471	16682	16794	16965	16905	17069	16957	17303	16985	16872	17237	17056	16960	17286	17428	17420	17317	17380	17446	17366	17858	17445
B12																																																	
C1																																																	
C2	559	8439	14657	17954	19569	20509	21652	22613	23304	24361	25349	17257	25548	26509	27757	28373	28803	29364	29665	30344	30329	30434	31065	31132	31378	31056	32543	31689	32112	32146	32451	32914	33070	32508	32728	33010	33130	34515	33895	33797	34425	34111	34631	34707	34313	35157	34467	35366	35359
C3	614	9877	16387	19184	20575	21638	22072	22279	22934	23252	23656	16895	23756	24557	25829	26286	26672	26580	27340	27125	27391	27562	27864	27965	28003	28449	28626	29103	28634	29006	29231	29419	29731	29597	29786	29972	30123	30299	30110	30406	30353	30662	30545	30492	31122	31133	31673	32021	32159
C4	529	5146	9484	12916	16525	18673	20216	21319	22070	23086	23780	16858	25563	26178	26251	26886	27554	27677	27621	28459	28230	28238	28274	28743	29082	29020	29289	28929	29745	29982	29527	30244	30279	30466	29859	30543	29994	30563	30521	31186	30295	30465	30825	31236	31116	31280	31215	31308	31670
C5	571	4934	9131	12537	15717	17798	18915	20196	20459	20864	21247	15854	22752	23187	23540	23452	23503	24133	23956	24411	24685	25250	24933	24635	24812	25163	24974	25321	25688	25980	25771	25558	25891	26097	26050	26510	25720	26357	26085	26458	26329	26692	26564	26750	26778	26865	27104	27209	26846
C6	491	4716	8864	12341	15105	17004	18004	18954	19712	20188	20339	12591	21815	20010	19363	18438	16794	15447	14584	14517	14158	14059	13786	13456	13577	13485	13451	13459	13425	13373	13337	13062	13282	12997	12941	12989	12872	12931	12898	12603	12897	12641	12938	12547	12518	12602	12638	12581	12551
C7	618	4129	8028	11380	14552	16961	18354	19378	20289	21112	21885	13771	22973	22277	21884	21661	21309	19815	19209	19020	18059	18414	19008	18432	18666	18860	18850	19040	18685	19039	19135	18631	19165	19252	18985	19185	19120	19154	19072	18848	19275	19339	19110	18881	19047	19264	19218	19129	19160
C8	559	6353	9757	12438	13844	15663	16587	17069	18199	18392	18817	13080	18759	19071	19095	19148	20038	19907	19897	20101	20194	20442	20168	20337	20594	20409	20555	20671	20836	20917	20785	20901	21154	20876	20991	21347	21170	21643	21529	21257	21638	21675	21681	21351	21992	21648	21966	21957	21798
C9	585	5526	9423	12240	13834	15836	16719	17479	18072	18374	18653	12853	18867	19271	19316	19125	19668	19796	19837	19630	19988	20077	20378	20285	20272	20709	20420	20431	20511	20923	20883	20976	20845	21094	20747	21172	21205	21211	20759	21362	21255	21574	21357	21334	21545	21881	21500	21829	21502
C10	499	5023	9187	11887	13974	16182	17322	18520	19393	19855	20708	12780	21792	21429	21037	20309	20032	18844	18145	17608	17275	17511	17218	17125	17169	17360	17342	17266	17224	17241	17058	17352	17369	17248	17597	17268	17430	17414	16951	17326	17272	17283	17335	17173	17045	16868	17289	17383	17510
C11	521	4333	7787	10170	12020	13628	14839	16254	17023	17286	18252	11129	20059	19656	19035	18920	18011	17424	16719	16476	16049	15997	15874	16328	16215	16220	15988	16336	16085	16124	16073	15961	16091	16343	16038	16188	16097	16072	15920	15974	15822	16040	16243	16120	16016	15733	16050	16129	16194
C12																																																	
D1																																																	
D2	542	9567	15792	18827	20031	21685	22315	23525	24220	24767	25733	14492	23079	22492	22629	21847	20508	19019	17569	17235	16755	16578	16598	16256	16616	16479	16629	16504	16209	16264	16450	16424	16265	16081	15861	16151	15826	16109	15969	15963	15903	16090	15845	15579	15961	15905	15682	15853	15857
D3	830	12232	19407	22730	24592	25678	26285	26602	26829	27345	28031	17388	26486	24575	23872	23575	22487	20988	20442	20023	19759	19828	20177	19941	19723	20172	19619	19875	19988	20030	19902	20055	19762	20025	19937	19844	19756	19806	20027	19627	19782	19820	19878	19632	19737	19565	19864	19804	19541
D4	683	10392	16985	19765	20985	22639	23461	23336	24123	24514	24918	17754	24791	25654	24953	25912	26154	26426	26667	26811	26724	27453	26843	27554	27697	27879	27607	27030	27605	27551	28204	28294	28433	28168	28017	28286	28320	28473	28419	28556	28007	28411	28490	28649	28585	29136	28975	29212	29392
D5	773	10900	18324	22280	23750	24558	25955	26288	26709	27365	27970	21092	27915	28348	28162	28860	28911	29468	29807	29992	29803	29796	30108	30391	30443	30489	30721	31088	31210	31082	31201	31598	31255	31285	31729	31924	31885	31937	31883	31945	31139	31556	31780	31761	32157	31920	31628	31741	32168
D6	652	11361	18724	22156	23770	25048	25821	26406	27107	27211	27872	17208	27230	25022	24222	23230	21696	19860	18159	17580	17035	16776	16736	16748	16647	16443	16698	16526	16488	16530	15693	16308	16197	16358	15948	16154	15897	15857	15903	15871	15678	15745	15468	15529	15839	15332	15250	15776	15486
D7	755	10804	18107	22318	24110	25568	26414	27431	28321	28730	29266	18420	27940	27031	26305	25654	24982	23224	21606	20884	20828	20395	20459	20423	20353	20622	20753	20129	20593	20459	20422	20582	20524	20591	20622	20487	20515	20337	20459	20562	20367	20425	20530	20224	20325	20299	20088	20564	20205
D8	746	9915	15055	17561	19045	19990	20889	20718	21730	21457	22226	15532	22207	22090	22825	22863	22948	23473	23358	23692	23036	24026	23653	23967	24127	24416	24045	24295	23643	24161	24506	24412	24877	24475	24218	24262	24524	25186	25165	25244	25042	24771	24755	25305	25274	24814	25463	25183	25292
D9	834	10176	16530	19509	20896	22195	23047	23582	23991	24626	24546	18525	24882	25825	25396	26145	26358	27235	26891	26958	27696	27849	26783	27385	27833	27276	27743	27866	27794	27615	28152	28418	27369	28648	28856	28048	28393	28352	28579	28795	28868	28342	28709	28888	28926	29011	29331	28955	29198
D10	732	9696	16097	18980	20832	22270	22759	23920	24203	24767	25737	16278	24761	23958	23535	22972	22213	20841	20204	19896	19488	19290	19238	19555	19594	19872	19345	19799	19551	19672	19587	19977	19818	19517	20007	20025	19969	19630	19959	19874	20184	20520	20208	20203	20259	20279	20217	20137	20500
D11	472	7463	13152	16187	17682	18767	20170	20980	21840	22152	23380	14378	22619	21842	21416	21161	20250	19278	18161	17568	17201	17033	17090	17106	17037	16701	17168	17247	16894	17163	17228	17296	17361	16877	17085	17078	17189	17068	17312	16882	17154	17058	17076	16631	17251	17297	16982	17328	17165
D12																																																	
E1																																																	
E2	779	10331	16375	18921	21006	22328	22544	23162	23641	23918	24499	13847	22613	21352	20635	20091	19203	17617	16377	15823	15590	15601	15545	15491	15814	15611	15445	15284	15264	15355	15289	15206	15070	15561	15442	15261	15344	14892	14943	15238	14869	14679	15011	14869	14867	14965	14943	14812	14588
E3	577	10702	17701	20783	22031	23229	23400	23702	23654	24318	24250	14525	22496	20764	20440	19626	18525	16904	15900	15391	15046	14791	14912	14829	14836	14756	15073	15073	14753	15058	14747	14922	14548	14620	14721	14635	14467	14352	14248	14516	14343	14409	14348	14376	14203	13919	14254	14226	14182
E4	846	11417	18468	21304	23471	24545	25800	26301	26365	26962	27408	19985	27534	28162	28411	29343	28558	29461	29252	29585	29237	30067	29712	30376	30191	29946	30368	30412	30452	30283	30713	30518	30886	30688	30552	30803	31026	30826	31198	30919	30980	31224	31601	31450	31349	31974	31590	31355	31479
E5	776	9203	15601	18931	20440	21507	22466	22850	23162	23704	24160	17671	23476	24465	24850	25392	25291	25320	25600	25689	25403	26010	25803	26177	26113	26216	26050	26612	26649	26485	26328	26225	26411	26725	27128	26566	26981	27172	27437	27281	27102	27268	27351	27808	27540	27883	27763	27760	28084
E6	529	5457	8382	9801	10595	11024	11125	11557	11726	11637	12294	7706	11948	11178	10751	10372	9858	9312	8782	8794	8313	8352	8328	8192	8383	8129	8336	8076	8056	7968	7897	8020	8014	7988	7789	7783	7709	7673	7562	7577	7824	7673	7748	7574	7543	7509	7433	7433	7532
E7	759	9812	16777	20413	22521	24171	25093	26025	26695	27386	27854	18073	27154	25532	24945	24111	22755	21256	20218	19255	19143	18732	18605	18883	18670	18701	18643	18688	18639	18558	18538	18560	18494	18574	18526	18221	18260	18006	18212	18170	17975	17679	18084	17929	18104	17844	17977	18217	18186
E8	714	9406	14670	17670	19463	20658	21302	21578	22057	22744	23133	16666	22656	23386	23116	24127	23532	24356	23904	24593	24490	24546	24894	24741	24713	25006	25081	24471	25230	25517	24746	25205	25646	25749	25060	25460	26073	26123	25733	25729	25649	25679	26022	26263	26277	26127	25996	26522	26289
E9	802	8577	14101	17049	18758	20285	20642	21011	21640	22389	22308	17017	22289	23588	23142	23740	24388	23716	24455	23920	24381	24852	24084	24549	24912	24995	24794	24785	25570	24547	25183	25372	25028	25553	25913	25726	25405	25317	26283	25695	25628	25677	26039	26069	26347	26092	25720	26248	26116
E10	590	9153	14653	17834	19971	21019	21888	22424	23154	23670	23835	15879	23777	22594	21906	21446	20449	19132	18080	17397	17393	17223	17140	17076	17273	17557	17266	17339	17191	17669	17550	17384	17336	17168	17402	17615	17390	17306	17375	17303	17292	17705	17493	17615	17721	17452	17589	17714	17700
E11	667	7668	12992	16207	17726	18950	19592	20647	20770	21704	21729	14541	21492	20133	19121	18351	17458	15847	14698	13676	13310	12938	12850	12694	12921	12625	12903	12936	12894	12770	12914	12483	12749	12657	12801	12588	12541	12521	12622	12522	12538	12327	12294	12272	12479	12417	12307	12331	12226
E12																																																	
F1																																																	
F2	484	8277	13609	16140	17979	19225	20171	20864	21625	22313	22432	13610	24350	24723	24285	23799	23489	22949	22708	23059	23151	23045	23304	23160	23504	23874	23863	24008	24147	24380	24570	24074	24407	24756	24505	24762	24869	24799	24903	25126	25031	25438	25345	25526	25604	25536	25894	25822	25737
F3	724	8320	13725	16113	18235	19235	19810	20318	21157	21812	22028	13968	22954	23563	22826	23040	22485	21813	21781	21444	21612	21595	21734	21478	21342	21420	22042	21854	21881	21924	22187	22167	21445	21905	22025	22335	21801	21863	21997	21809	21865	22298	22259	22064	21900	21887	21899	22201	22169
F4	739	10620	16056	18490	19669	20650	21140	21447	21595	21835	22133	15496	21307	22267	22775	22812	23021	23165	23286	23125	23601	23166	23822	23611	23376	23809	23959	23655	23760	23919	24068	24110	24115	24214	24522	24745	24697	24551	24720	25070	25233	25236	25088	25289	25309	25301	25000	25934	25359
F5	586	4293	6783	7982	8366	9072	9507	9716	9977	10018	10240	7645	10028	10502	10720	10877	10764	10905	10719	11134	10916	11363	11045	11256	11375	11338	11342	11571	11626	11798	11622	11770	11682	11922	11770	11508	11639	11848	11962	11976	12197	11892	12214	11932	12295	12261	12130	11941	12180
F6	527	8314	13695	16286	18538	19424	20593	21203	21724	22705	23080	15239	23038	22460	21999	21446	20726	20068	19541	19188	18907	19081	19327	19238	19217	19378	19565	19758	19595	20076	19689	20000	19991	19691	20386	20032	19927	20031	20164	19858	20267	20351	20412	20198	20564	19961	20343	20399	20394
F7	878	10845	17764	20941	22493	24164	24467	24904	25216	25709	25937	17503	25344	23599	22925	22046	21471	19829	18517	18281	18072	17738	17976	17598	17915	17813	17829	17822	17560	17883	17872	18069	18019	18039	17806	17894	17937	17915	17882	17728	17929	17767	17995	17693	18198	17579	17827	17911	17792
F8	805	8375	13091	15523	16694	17400	18422	19117	19169	19967	20457	15295	20707	20989	21287	21834	22191	22432	22457	22668	23058	23004	23066	23425	23540	23730	23553	23816	23999	23830	23929	23628	24396	24215	24535	24534	24615	24852	24669	24833	24830	24987	25256	25496	25499	25362	25523	25903	25778
F9	698	9139	15158	18500	20047	21211	21689	21900	22359	23028	23540	16681	23093	23612	24444	24574	25101	24833	25274	25265	25737	25604	25583	26058	26108	26309	26666	26486	26236	26598	26871	26614	26694	26980	26580	27101	27239	26860	26922	27507	27150	27492	27847	27677	28053	27664	27929	28266	28478
F10	659	7670	12335	15495	17062	18306	19560	20480	20962	21851	22620	15799	22560	22712	22020	22380	21990	21466	20644	20847	20813	20776	20567	20984	21276	21318	21247	21504	22028	22092	22426	21789	21882	22312	22671	22077	22389	22626	22340	22076	22758	22685	22765	23092	23158	23272	23145	22932	23148
F11	418	6301	11452	13897	15384	16540	17771	18063	19109	19678	20220	13909	20201	20277	20152	19629	19322	18873	18577	18103	18302	18693	18416	18760	18624	18889	19078	19359	19195	19155	19196	19567	19369	19461	19374	19748	19672	19890	19609	20253	19703	20106	20260	20070	19914	20102	20201	20010	20238
F12																																																	
G1																																																	
G2	672	6880	12518	15165	17120	18300	19185	19941	20672	21490	22170	14026	23931	24342	24007	23707	23198	22783	22701	22680	22901	23235	23315	23570	23506	24138	24076	24232	24674	24708	24757	24822	24716	25062	24979	25048	25215	25226	25662	25480	25533	25852	25777	25972	26032	25803	26129	25998	26540
G3	478	7210	12961	15251	16808	18294	19819	20484	21370	22517	23473	14419	24633	26007	25886	26105	25919	25552	25242	25498	25572	26136	25726	26623	26559	27119	27388	27912	28070	28242	28193	28972	29008	29279	29560	30092	29796	29588	29694	30111	30266	30287	30256	30554	30863	30793	31002	30955	31410
G4	785	6841	11828	13950	15094	16392	17275	17706	18948	19186	19707	14355	20318	21194	21990	22447	23414	23376	23397	23552	24324	25496	25400	25328	25221	25299	26361	25591	26517	26830	26885	27063	26896	28177	27597	28139	27768	28734	28081	28662	28457	29156	28964	29304	28536	29412	29549	29992	29325
G5	568	7660	13234	15463	16905	18325	19086	20148	20503	21409	21883	15784	22083	23194	23869	24161	24544	24824	25360	25232	25599	25623	25768	26047	26260	26635	26724	26959	26916	27145	27348	27160	27583	27209	27681	27375	28107	27575	27874	27852	28188	28331	28234	28714	28776	28434	28721	28759	29118
G6	599	7365	12793	15102	17107	18459	19642	20541	21389	21980	22487	15202	23141	23191	22800	22490	22616	22233	21740	21076	21238	21024	21322	21488	21622	22026	21988	22352	22040	22736	22967	22423	22800	22830	23197	23034	23362	23131	23124	23409	23666	22854	23912	23375	23767	24034	23955	23557	23889
G7	756	8634	15152	17388	19818	21124	21756	22208	22288	23244	23359	15611	22839	21370	20477	20191	19187	17252	16439	15890	15613	15524	15419	15381	15445	15704	15440	15824	15469	15500	15546	15475	15767	15431	15476	15915	15723	15673	15827	15595	15607	15756	15498	15677	15598	15567	15727	15317	15486
G8	539	6072	10712	12612	13404	14509	15285	16171	16439	16903	17401	12172	17383	18910	19984	19301	20255	20601	20804	20718	21343	21639	21621	21799	21915	22180	22600	22705	23209	23162	23237	23113	23248	23892	24264	23827	24087	24287	24435	25122	24910	24754	25166	25234	25181	24830	25647	25363	25810
G9	730	7069	13159	15569	17190	18959	20020	20531	21426	22312	22465	16322	22790	23864	23956	24638	25144	24949	24996	25420	25775	25985	26100	26457	26317	26449	26778	26994	26986	27098	27132	27347	27353	27782	27262	27531	28224	28056	28168	27834	28014	27854	28365	28484	28563	28607	28963	28793	28828
G10	485	6699	11660	14189	15577	17101	17835	18507	19306	19956	20175	13377	19887	20115	19483	19226	19050	18422	18031	17686	17609	17542	17681	17651	17856	18123	18401	18525	18267	19086	18571	18766	19336	19558	19685	19290	19374	19494	19350	19645	19887	20140	19795	20106	19812	19949	19973	20212	19751
G11	578	6389	11659	14014	16217	17822	18533	19892	20704	21511	22024	14848	22627	22323	21971	21823	21313	20397	19999	19494	19355	19714	19392	19663	19840	19807	20309	19919	20193	20296	20374	20347	20620	20672	20538	20839	20411	20245	20805	20568	20774	20603	20844	20981	20720	20910	21137	21037	20715
G12																																																	
H1																																																	
H2																																																	
H3																																																	
H4																																																	
H5																																																	
H6																																																	
H7																																																	
H8																																																	
H9																																																	
H10																																																	
H11																																																	
H12																																																	
																																																	
End Time				2017-06-20 10:14:42																																													
																																																	
Warning	Unable to meet given kinetic interval time for cycle '11'.																																																
