Method name: INIMS_ExiCyToxAssay_RTG_Lars_Binkle_790_254_																																																	
Application: SparkControl				1.1																																													
Device: SPARK 10M				Serial number: 1511007580																																													
Firmware: 				LUM:V4.0.22|ABS:V4.2.9|ABS_MEX:V4.1.7|MTP:V9.0.18|FLUOR:V4.2.12|GCM:V3.0.2																																													
 																																																	
Date: 				2017-06-30																																													
Time: 				10:22																																													
System 				PC-2WPML82																																													
User 				NT-AUTORITÄT\NETZWERKDIENST																																													
Plate 				[GRE96fw_chimney] - Greiner 96 Flat White [GRE96fw_chimney]																																													
Lid lifter 				Removable lid 																																													
Humidity Cassette 				No humidity cassette 																																													
																																																	
List of actions in this measurement script:																																																	
Plate																																																	
	Temperature																																																
	Gas 																																																
	User intervention																																																
	Kinetic																																																
		Luminescence				RTG																																											
		Condition																																															
			User intervention																																														
																																																	
Plate layout																																																	
Name				GRE96fw_chimney																																													
																																																	
Temperature control				On																																													
Target temperature				37	°C																																												
Wait minimum				36,5	°C																																												
Wait maximum				37,5	°C																																												
																																																	
Gas control				CO2																																													
CO2 target value				5	%																																												
CO2 wait minimum				4,5	%																																												
CO2 wait maximum				5,5	%																																												
																																																	
User intervention text				Start assay																																													
																																																	
Mode	Kinetic																																																
Kinetic cycles				49																																													
Interval time				00:30:00																																													
																																																	
Mode	Luminescence																																																
Attenuation				None																																													
Settle time				0	ms																																												
Integration time				1000	ms																																												
Output				Counts / s																																													
Part of Plate				A2-A5;B2-G11																																													
																																																	
Mode	Condition																																																
Type				Start at cycle																																													
Executed once																																																	
Operation				at cycle 11																																													
																																																	
User intervention text				Add glutamate																																													
																																																	
Start Time				2017-06-29 10:20:38																																													
																																																	
RTG																																																	
Cycle Nr.	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
Time [s]	0	1799,21	3599,118	5399,026	7198,935	8998,86	10798,763	12598,676	14398,601	16198,496	17998,417	19798,757	21598,253	23398,162	25198,075	26997,991	28797,916	30597,824	32397,733	34197,657	35997,565	37797,473	39597,398	41397,306	43197,214	44997,137	46797,038	48596,968	50396,882	52196,778	53996,696	55796,622	57596,53	59396,438	61196,349	62996,255	64796,18	66596,088	68395,997	70195,909	71995,83	73795,738	75595,662	77395,57	79195,476	80995,403	82795,308	84595,217	86395,137
CO2 %	4,6	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
O2 %	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5	19,5
Temp. [°C]	37,06	36,95	36,95	37,06	37,04	37,05	37,03	37,04	37	36,99	37,18	37,04	37,08	36,98	36,94	37,11	36,98	37,08	36,97	37,06	36,99	37,07	36,97	36,94	36,97	37,06	37,07	37,02	37	36,95	37,03	37,08	36,95	37,01	37,04	37,01	36,97	37,09	36,89	37,04	36,96	37,02	37,05	37,04	37,13	36,95	37,04	37,03	37,01
A1																																																	
A2	186	335	413	435	488	564	566	542	647	655	669	614	744	737	780	791	774	810	810	851	883	819	881	895	909	876	932	969	913	869	976	971	932	954	975	993	948	962	990	989	951	927	960	1014	938	895	1000	1016	974
A3	207	321	435	469	525	572	554	640	641	743	705	687	749	713	797	769	782	856	809	862	885	881	881	935	897	931	914	1001	921	921	924	948	895	1028	1012	985	988	951	1015	976	915	1014	1030	989	864	991	975	1031	935
A4	242	317	404	491	569	612	572	656	677	709	736	676	798	798	854	882	844	901	832	857	902	990	943	909	919	961	984	985	905	1026	966	974	1047	1055	1026	1020	1000	1045	956	951	1000	1064	965	1016	1005	1015	970	1087	952
A5	212	307	514	623	568	606	690	679	733	772	817	809	802	881	907	993	903	1042	991	1007	967	981	1126	953	1069	1096	1038	1014	1067	1127	1152	1058	1068	1035	1217	1059	1090	1106	1116	1098	1101	1137	1121	1092	1069	1056	1074	1033	1132
A6																																																	
A7																																																	
A8																																																	
A9																																																	
A10																																																	
A11																																																	
A12																																																	
B1																																																	
B2	378	9460	19849	24762	25370	26760	28237	29679	30631	32151	32773	29148	31384	34206	36737	38000	38872	40285	41047	41591	41643	42287	43149	43853	44588	45820	44925	45802	46495	46724	47450	47722	47050	47931	47374	48078	48754	48933	49198	48639	49201	49651	49700	51066	50199	49977	51516	50484	51662
B3	360	9559	20801	27058	27807	27743	28979	30420	31741	33163	33901	30039	33005	36478	38748	40113	41607	42382	43552	44314	45755	45739	46160	46427	47145	48192	47766	48337	48553	48953	49839	49850	49568	50982	49757	49925	50995	50807	50631	50995	51093	51440	52292	52138	52447	51984	52745	52653	52541
B4	408	5892	10473	14266	18037	21460	23687	25702	27247	28618	30589	29183	33251	34235	35613	36713	37574	37988	38681	39591	39725	40509	40302	40898	41381	42078	43483	43276	43805	44075	43319	44359	44789	45132	45687	44949	45473	46547	46602	45681	46285	47725	47750	46329	47181	48163	48608	48373	48385
B5	310	4976	9768	13201	16857	19537	21775	24077	25353	26566	28483	26989	30369	32283	33683	34669	35656	36220	37211	37919	38476	39445	39251	40179	40549	41019	41436	41459	41912	42215	42021	42594	42329	43271	41979	43169	44604	43768	44621	45183	45247	45805	45381	45879	46226	44908	45146	46323	46827
B6	447	6090	11495	15585	19514	22087	24793	26401	28025	29581	30822	31255	32681	33304	33771	33658	33371	32904	32716	32126	32332	32580	32466	32942	33335	33487	33565	34380	34442	34912	35103	34877	35108	35236	35633	35830	35731	36424	36023	36352	36051	36674	36441	36574	36400	36657	36688	37272	37176
B7	388	5203	9831	13635	17240	20379	22932	25192	26806	29316	30610	30335	32757	33438	33665	34206	34412	34256	33676	33627	34166	34576	35481	34801	35682	36154	36443	36904	36575	37676	37313	38187	38225	37963	37584	38567	39285	39436	39596	38737	40045	39679	39458	40028	39401	39830	40281	39756	40184
B8	355	4975	9245	12347	14902	17410	19605	21417	23194	24370	26040	25729	28082	28976	30059	31002	31421	32450	32565	33980	33639	34734	34603	34968	35454	36036	35929	36447	36044	37078	36811	37076	37375	37509	37326	37275	37932	37713	38063	38121	37941	38084	38168	38479	38360	38887	38627	38576	38433
B9	423	5129	9395	12258	15061	17721	19828	22214	24083	25757	26952	26966	29430	30712	31548	32032	33311	33774	34166	35342	35447	36471	36889	36761	37391	37973	38431	38272	38890	39155	38808	39390	39604	39227	40126	40329	39466	39713	40187	40092	40234	40750	40351	40422	41179	40660	40958	41138	40969
B10	352	4315	8133	10713	13449	15582	17411	19412	21222	22410	23482	25215	26238	26572	26766	27048	27204	26842	26423	26758	26751	27075	27281	27207	27689	27728	28049	28033	28138	28471	28529	28808	29064	29489	29052	29141	29564	29733	29755	29961	29949	30073	30285	30024	30115	30401	29941	30242	30374
B11	286	3937	8000	10689	13330	15678	17514	19411	21017	22535	24139	26111	26576	26946	27200	27485	27874	28072	27528	28019	28110	28352	28672	28950	29514	30023	30034	30365	30260	30826	30680	31485	30889	31840	31532	32173	32452	32459	32651	32706	32930	32952	33122	32886	33853	33321	33258	33271	33162
B12																																																	
C1																																																	
C2	382	10218	21174	27249	28008	28989	29826	30685	32210	33675	33858	29972	31422	35280	37680	39358	40904	42048	42540	43588	44231	44712	46112	45353	46254	47282	47670	47371	47473	47558	48875	49248	49180	49080	50425	48720	50983	50582	51263	49808	50065	53138	52099	51593	51071	53685	53031	53278	54253
C3	485	9406	20066	26337	28731	26779	27030	27605	28931	29499	30457	27783	29294	31994	34082	35684	36757	37894	38653	39220	39797	40342	40739	40706	41500	41318	42112	42117	42539	42155	44288	43084	42845	43864	43845	43602	44333	45154	45436	44363	44961	45806	46220	46949	46416	46313	47181	47461	47107
C4	404	6336	10959	14832	18933	22030	24144	26526	28243	29855	31110	29794	33490	35247	36210	37849	38684	39311	39793	40780	41564	42040	42434	43032	43856	44187	44047	44317	45028	45317	45125	46169	45688	46162	46772	47525	46570	47501	47865	48339	48248	48112	48834	49411	49363	49574	49617	49784	49836
C5	483	6363	11992	16328	20991	24277	27353	29275	31553	33110	34737	33268	37446	38888	39879	41113	41794	42564	43055	43704	44960	45383	45367	46362	46468	47191	47070	47654	47647	48070	47960	48104	48093	48858	48978	48733	49025	48907	49247	49969	48965	49294	50368	50379	49943	50360	50573	50508	51031
C6	359	5839	11049	16161	20414	23736	26282	28687	30408	31718	33612	32271	33230	33074	33590	33497	32946	31272	30358	30378	30310	30677	30476	30147	30688	31239	30777	31536	31597	31943	31950	32205	32340	32383	32256	32623	32561	32524	33008	32636	32333	32670	33071	33340	33742	32926	32773	33707	33514
C7	501	5041	9758	13196	16863	19702	22023	24333	26019	27361	29100	28833	30520	31472	31920	32305	32492	31931	32111	31781	32016	31981	32485	31970	32318	32821	33183	33495	33770	34048	33867	34789	34323	34594	34666	34942	35205	35269	35039	35050	34939	35672	35900	36168	36214	35935	36005	35707	35823
C8	508	4736	8265	11181	13336	15960	18285	20146	21763	23532	25020	24527	26587	27388	28485	29613	30300	31156	31632	31848	33002	33168	33559	33575	33935	34779	34688	34584	34779	35334	35601	35463	35815	36242	35836	36509	36297	36620	36640	36525	36824	36646	37140	36993	37248	36811	37121	37211	37295
C9	400	4941	8699	11320	13641	16094	18393	20763	22266	23701	25469	25674	27196	28312	29141	30119	30831	31442	32023	32640	33103	33386	34392	34018	34927	35183	35467	35049	35366	36249	36060	36559	35885	36839	36800	36751	37085	37427	37112	37371	37136	37329	37505	37493	37640	37459	37722	37946	37614
C10	472	5047	8772	11610	14330	16461	18918	20468	22416	23836	25539	26392	27941	28189	28297	29001	29080	28712	28853	29190	29257	29167	29808	29855	30289	30199	30500	30633	30702	30860	31088	31310	31405	31505	31913	32039	31847	32186	32192	32176	32488	32389	32558	32881	32713	32557	33026	32782	32592
C11	347	4465	8829	11772	15013	17790	20163	22047	23925	25696	27042	29123	29682	29927	30384	30237	30368	30433	30007	30144	29950	30578	30832	30936	31258	31175	31902	31919	31646	32159	32759	32345	32569	32836	33195	34118	33530	33365	33504	33639	33532	33751	34141	34309	34014	34026	34314	34451	34573
C12																																																	
D1																																																	
D2	562	11422	22041	28412	29866	31558	32604	33426	33962	34773	36746	28792	28864	30382	30521	31428	30949	30139	29379	29977	30142	30203	30383	30968	31675	32424	32755	33355	34021	34423	34867	35676	35574	36833	36833	37489	37701	38204	38826	38800	39352	39577	39676	40447	40010	40861	40686	41583	40949
D3	469	10470	21623	27491	26471	26113	26271	26598	27293	28295	29376	26602	27131	27683	28125	28397	28626	28650	28655	29305	29175	29380	30400	30178	30756	31345	31506	32591	32345	32865	32965	33922	33879	33738	34487	34383	34657	34996	34678	35189	35574	35575	35495	35839	35732	36156	36188	36390	36361
D4	659	10825	21666	27696	26273	27238	29141	30470	31919	33415	35267	33779	37092	39080	40206	42434	43348	44564	45988	46839	47204	47420	49469	48684	50757	50753	50943	51267	51920	52522	53529	53098	52909	53536	54484	55156	55270	55307	55198	55898	56439	56568	56499	56698	56795	57231	56918	57315	57105
D5	329	353	453	506	550	493	594	571	603	609	642	637	649	677	629	638	676	651	667	741	681	698	667	692	705	704	671	676	768	733	704	696	671	668	681	700	726	714	706	707	745	694	800	789	726	716	750	735	770
D6	480	10401	19892	22882	25300	27455	28921	29650	30335	31803	32569	29958	30513	30968	31025	31016	30309	29378	29394	29049	29599	29546	29774	29917	30282	30740	31434	31172	31374	31331	31615	32227	32263	32280	32547	32289	32873	32462	32891	32910	33001	33172	32937	33263	33470	33449	33732	33302	34030
D7	555	8512	17042	22605	22778	24920	26774	27986	29338	30934	32613	30363	30946	31226	31270	31016	31464	31051	30509	30742	30692	31190	31311	31611	31748	32152	32075	32859	32958	33133	33744	33704	33658	33850	34413	34112	34029	34571	34546	34097	34437	34758	34811	35205	34683	35206	34982	35422	35645
D8	434	9070	17060	21843	23629	24569	25837	26892	27844	29282	30589	29190	32061	32940	34019	35188	35829	36743	37863	38726	38969	39532	40118	40919	41233	41071	41909	42014	42360	42653	43237	43384	44148	44050	44455	44749	44489	45325	45213	45008	45081	45749	46058	46210	46171	46040	46633	47422	46520
D9	592	7289	13592	17716	18999	20237	22508	24507	26059	27091	28767	29082	31471	32210	33401	34516	35387	36018	37094	37705	38700	38632	39197	40118	40672	41096	41055	41458	41879	42185	42230	42498	42684	42806	43226	43530	43542	43668	43657	43383	43772	44536	43899	43984	44636	44662	45065	45028	44656
D10	419	7836	14291	18497	19372	21078	22895	24469	26078	27300	28349	27905	28273	28592	29188	29205	29523	29048	29099	29312	29514	29524	29844	29902	30822	30812	30649	31198	31514	31922	32232	32352	32456	32956	32888	32963	33343	33573	33691	33579	33206	33751	33746	34527	34672	34176	34298	34401	34891
D11	437	6067	14175	15553	17774	20446	22567	24561	25949	27526	28797	28759	28844	29255	29403	29820	29876	30189	29596	29479	30029	30175	30708	30664	31873	31697	32330	32253	32599	33973	33176	33647	33971	34145	34268	34237	34822	35123	35431	35191	35754	35507	35857	35966	36027	36486	36269	36579	36648
D12																																																	
E1																																																	
E2	436	11041	22141	29964	28056	29764	31176	32130	33062	34008	35161	29406	29145	30340	30819	31557	31475	31159	30727	31170	31097	31688	31703	32099	32561	32890	33361	33793	33787	34131	34489	34911	34649	35707	35519	35639	35857	36259	36266	36707	36632	36878	37043	37527	37438	37525	37749	37935	37700
E3	656	11715	21716	28632	27037	28536	29406	30244	30316	32021	33094	30342	30180	30814	31365	31893	31454	30784	30848	31135	31155	30830	31201	31260	32038	32361	31967	32053	32421	33033	33282	32893	32957	32979	33492	33236	33504	33658	33765	33821	34068	33817	34123	34425	34424	34682	34900	34258	34306
E4	490	10592	18843	24387	23945	25709	26754	27838	29063	29675	30908	29381	31952	32873	34319	35389	35695	36957	38483	38166	39169	38776	39828	40793	40714	41957	40927	41788	41936	42423	42783	42648	42751	43150	43322	43417	43532	44137	43316	44088	45176	44914	45593	45639	45419	45593	45983	45970	45782
E5	633	11284	22179	26994	27132	29148	31539	33112	33957	35360	37184	36129	39454	40609	42024	43301	44453	44829	46059	46417	47334	47944	48609	48967	49982	49758	50641	51220	51257	51562	51163	52567	52906	52502	52677	52507	53062	53382	53658	53049	53164	53187	53685	53653	53474	54153	54984	54979	54552
E6	471	9854	19611	29334	24867	26031	28410	29726	31801	34320	35957	34070	35193	35693	35718	36133	36382	35955	35857	36361	36696	37441	37559	37938	38580	39355	39303	39667	40351	40386	40887	41561	41285	42370	42559	42616	42970	42899	43674	43775	43474	44009	44455	44335	44687	45259	45292	45282	45752
E7	601	9933	19341	27774	24774	26694	28215	29936	31256	32935	34237	32266	33026	33005	32841	33962	33652	33284	33906	33772	34373	34847	35465	35241	35597	35721	37090	36929	37339	37673	38097	38099	38625	38739	39037	39114	39003	39643	39280	39644	40072	40025	40196	40942	40534	40359	40874	40741	40763
E8	455	8396	15039	21211	21352	24140	26222	27702	29982	31151	32445	31935	34432	35119	36531	37465	38703	39687	39979	40530	41635	42037	42416	43285	42971	43654	43911	44753	43863	44534	44618	44435	45202	45320	45397	45760	45376	45874	46206	45844	46370	46774	46486	46507	46326	47060	46973	46917	47323
E9	568	7806	14206	21711	20932	23125	26245	28284	29668	31922	33089	33039	35856	36882	38198	39200	40557	41220	41756	43012	43578	43774	44136	44786	45344	45831	45975	46647	46381	46696	47456	46951	47315	48181	47906	47686	48465	48816	48750	48722	48944	48434	48843	49594	49358	48932	48441	50031	49896
E10	584	7158	13734	20355	19500	22497	25426	27206	28957	30902	32221	31671	32564	33060	32484	33238	33075	32653	32284	32523	32896	32910	33350	33545	33847	34137	34429	35117	34980	35628	36051	36403	36244	36940	36494	37683	37048	37705	37879	37301	37993	37649	37773	38658	38565	38290	38858	38712	38741
E11	360	4432	9207	11770	13088	14805	16331	17415	18230	19462	20578	18729	18858	18822	18551	19010	18723	18236	17879	17929	18113	18177	18500	18528	18953	19388	19323	19614	19598	19945	20175	20595	20398	20855	20794	20833	20746	21115	21419	21521	21733	21655	21285	21900	21972	22008	22010	22327	22484
E12																																																	
F1																																																	
F2	657	9326	17816	26288	25981	28278	30447	32552	36464	37021	40360	32249	36022	40322	42552	44015	45496	45699	46503	47887	47553	47747	48122	49305	49600	49662	49932	51094	52484	51902	53377	51854	53017	54266	55128	55295	55350	55478	56494	55652	56154	56052	56899	57981	58923	58171	58787	58081	58250
F3	506	9270	17120	25847	24780	28368	29645	31911	35732	39047	42526	35493	41369	42701	45351	46898	47938	47429	47516	50670	48285	51001	50761	53188	50647	52260	54186	53246	54115	55126	53627	56055	55429	54305	53114	57779	59084	57181	55739	60046	54208	59972	57331	57826	56503	62319	63149	58975	64638
F4	389	6298	11550	16884	16857	17925	19475	20687	21467	22373	23104	22007	23875	25232	25803	27009	27811	28009	28833	29951	30019	30470	30793	31934	31927	32063	31984	33259	32794	33054	34640	34485	34368	34672	34686	34854	34960	35417	35375	35587	35428	36042	35894	35885	35997	36329	36708	37068	37063
F5	533	8571	18768	33456	24876	25968	27671	28859	30651	30635	33757	30079	34474	35083	36038	38808	40660	42156	41779	44135	44574	44330	45815	44925	47259	47672	47882	49273	48595	49531	50504	50938	50261	50457	49845	52703	52065	52091	53019	52801	53528	53106	54539	54300	54426	54601	54186	55290	55808
