Method name: INIMS_ExiCyToxAssay_RTG_Lars_Binkle_790_464_																																																	
Application: SparkControl				1.1																																													
Device: SPARK 10M				Serial number: 1511007580																																													
Firmware: 				LUM:V4.0.22|ABS:V4.2.9|ABS_MEX:V4.1.7|MTP:V9.0.18|FLUOR:V4.2.12|GCM:V3.0.2																																													
 																																																	
Date: 				2017-06-22																																													
Time: 				10:32																																													
System 				PC-2WPML82																																													
User 				NT-AUTORITÄT\NETZWERKDIENST																																													
Plate 				[GRE96fw_chimney] - Greiner 96 Flat White [GRE96fw_chimney]																																													
Lid lifter 				Removable lid 																																													
Humidity Cassette 				No humidity cassette 																																													
																																																	
List of actions in this measurement script:																																																	
Plate																																																	
	Temperature																																																
	Gas 																																																
	User intervention																																																
	Kinetic																																																
		Luminescence				RTG																																											
		Condition																																															
			User intervention																																														
																																																	
Plate layout																																																	
Name				GRE96fw_chimney																																													
																																																	
B5	629	6492	11780	16264	19461	22183	23405	25233	26036	27025	28426	28809	29559	30225	30424	31367	31195	32384	32396	32635	33574	33888	34407	34270	34652	34818	35067	35482	35192	35757	36029	36195	36566	37101	36240	36908	37449	36098	37010	37628	37604	37738	37877	38671	38493	38211	37839	38644	39509
B6	490	4907	9739	13428	16748	18934	20307	21422	22604	22736	24169	24935	24765	24707	24716	24705	23863	22987	22572	22747	22395	22631	23183	23549	23772	23705	23712	24276	23854	24781	24392	24734	24443	24837	24994	25517	25434	25643	25507	25534	25837	25605	25135	25704	25433	25632	26359	26150	26131
B7	411	4073	7862	10686	12893	14400	15061	15987	16320	16563	16953	17966	17880	17746	17624	17221	17186	17124	16717	16776	16633	16614	16648	16859	16657	16926	16756	16927	16822	16865	16800	17070	16888	17127	17210	17018	17178	17217	17083	16971	17022	17132	17152	17176	17097	17142	16913	17185	17126
B8	602	5639	10890	14381	16877	18335	20386	21881	23312	24234	25118	25727	26485	27600	27925	28359	29228	29638	29789	30716	31020	31292	31429	31728	32320	32783	32993	33488	33082	33504	33444	33569	33850	33779	34013	34007	34462	34544	34764	34908	34918	34696	35600	35511	35633	35042	35468	35413	35782
B9	565	4091	7141	9217	10670	11679	12553	13377	13623	14224	14540	14566	15070	15025	15582	15402	15776	15958	16080	16056	16293	16249	16754	16601	16997	17010	17075	16944	16984	17214	16961	17190	17318	17496	17433	17481	17243	17517	17576	17622	17575	17733	17867	17866	18150	17633	18197	18399	18162
B10	473	4815	8723	11259	13783	15898	17307	18876	19741	21064	21532	24412	23696	23806	23398	23186	23337	22980	22714	22911	23041	23079	23263	22958	23545	23683	24247	24351	24022	24609	24275	24182	24560	24287	24638	24854	24834	24786	24911	25434	25115	24921	25257	25547	25484	25485	25314	25649	25817
B11	532	5399	10127	13658	16629	19048	21137	23075	24661	25868	27220	30697	29615	29210	29283	29355	29112	28451	28562	28491	28290	29041	29150	29219	29426	29870	29525	30048	30102	30470	30611	30379	30541	30609	30433	30681	30944	30852	31035	31272	31522	31199	31477	31135	31638	31701	31914	32008	32105
B12																																																	
C1																																																	
C2	717	9872	17749	22116	23010	24305	25107	25851	26384	27187	28392	27158	28634	29371	30301	30995	31997	32518	32771	32949	33379	33756	34395	34658	35358	34760	34725	34845	35543	34714	35429	35386	35291	35452	35785	36141	35624	35392	36209	35751	36761	36336	36952	36940	37633	37831	37691	37794	38205
