cycle number	Time [s]	CO2 %	O2 %	Temp [°C]	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
11	17998,449	5	19,6	37,04	176724	172601	195486	103120	188432	234368	193245	231847	198397	189954	187002	888	178515	174262	223075	252700	116329	214797	215633	210914	197151	212840	222116	973	146371	176564	184354	208073	164789	222076	223785	202117	195479	202713	168635	2892	203501	189701	185252	237282	214372	241158	185484	207879	198080	245295	234684	673	176002	143104	189569	211852	149543	253594	227479	192419	187130	199402	190171		226705	193069	136405	179029	172910	249880	198615	213856	213750	241075	181006		251734	170224	103218	145795	126085	174732	223452	194474	221403	226611	220068		47401	68408	27915	62957	121851	17250	69565	92750	68847	86915	163238	
12	19798,343	5	19,6	37,09	180054	175695	197187	104653	192840	236993	195414	235079	199618	193020	192013	962	181584	177030	226621	255395	117656	217628	218102	214193	199568	216436	225472	919	149566	177566	186636	212400	167998	225883	226836	204857	197310	207073	172339	3008	205267	193320	187129	242306	216758	245169	188229	208888	201778	249347	239237	699	178176	145751	192606	215433	151193	256682	231647	195198	190244	203779	193906		230988	197778	139495	183361	176665	254539	201012	217731	216737	244704	183993		255848	172424	106903	148631	126458	178828	225460	198173	225593	231526	223919		48438	70351	28745	64949	123942	17465	71329	94898	70849	89407	166753	
13	21598,262	5	19,6	37,1	181566	177455	200105	107663	196053	240784	198278	236650	202887	195912	192900	1013	183033	179650	228521	258119	119255	220261	221038	216763	201593	218249	228530	1015	151429	180230	189533	215439	170380	229356	229072	207060	200247	208684	173837	3078	207966	195012	189321	244424	221114	246574	189959	212148	204524	252636	241651	747	181084	147410	195563	219192	153476	260547	233849	198983	194504	207353	195426		233471	199666	141337	186576	179103	258338	204521	220184	219787	249083	187543		258213	177054	109045	151480	130153	180979	228248	200690	228261	233746	227391		49590	72085	29788	65674	126254	18211	73100	97229	72054	90574	170204	
14	23398,189	5	19,6	36,89	183237	180887	202272	109708	197674	243307	198823	238702	204041	197516	194739	1064	185150	181599	231563	260969	122355	222765	222944	218796	204040	220252	231888	1160	152594	180667	191771	217883	171934	230983	230519	212146	200907	210330	176055	3298	210679	197149	191217	247938	223102	252616	191630	214128	206785	256870	245651	868	183172	149568	197311	221181	156005	262105	235832	201795	196835	210967	198426		236709	201834	144137	187763	181671	259465	210607	222998	222711	250442	189438		260385	178254	111125	153727	130078	183996	230043	204176	231341	237742	231652		50669	72656	30644	67229	127794	18802	70517	99329	73124	92366	171942	
15	25198,092	5	19,6	37,11	186245	182096	204645	112145	198262	245057	201614	241754	207678	200790	196402	1112	186706	183261	234108	262407	123000	223970	224979	221880	207068	222450	234769	1134	155424	184225	193890	219823	174509	234770	232989	213539	204188	212986	178238	3436	212743	199942	193683	250914	226334	254449	194673	216119	209043	261761	248148	930	184482	152040	199804	224217	159089	265260	237856	204609	199137	213547	201643		237571	204430	145275	190790	183173	263833	214078	226928	223711	253259	192347		263394	180160	112552	156571	133014	187036	229974	206147	232943	240028	233782		51372	73876	30768	68617	130271	19173	72297	100581	73685	94611	174451	
16	26998,006	5	19,6	37,11	187365	184457	206508	112808	201235	248365	203899	243211	208814	203326	198921	1125	190165	185036	235529	263930	125041	226611	227753	222001	208505	226231	236031	1156	155588	185184	196210	221183	175169	236098	234234	214037	206046	216486	180606	3491	214313	200009	195183	253305	226689	258253	195609	217279	210307	265982	250636	919	187149	154111	201559	227568	159798	266905	240155	207594	201877	215524	203320		243036	206191	147259	192327	185826	266165	216502	228071	225882	256949	193847		267078	183686	114519	158978	133821	189540	232714	208697	236910	245637	236250		52426	75480	31485	69759	131538	19361	73068	102829	74754	95343	176930	
17	28797,913	5	19,6	37,18	188649	185685	206912	114285	202686	248281	204981	243819	209586	205099	199191	1270	189946	186318	236421	264835	125514	227234	227527	224393	208840	226564	238190	1285	156738	185954	197386	222208	176736	238986	235196	215440	207555	218196	181044	3664	215882	201547	196798	253146	228158	257736	197408	218844	213230	267566	253530	969	188734	155032	204323	229354	162505	269283	242055	208706	203347	219218	203703		241958	207844	147947	194007	188426	267954	217068	230891	228599	258951	196253		268299	184230	115894	160908	134563	190499	231369	208839	237238	245996	239404		53003	76513	31627	70375	134121	19808	74140	104659	75227	97069	178340	
18	30597,838	5	19,6	36,93	189592	187034	207379	114834	203619	249861	205768	244436	210974	206738	200945	1273	191007	187115	236890	265881	126772	228490	228601	224564	209478	227839	238869	1290	156845	186976	197731	222618	177752	238740	235674	216047	206986	219256	183492	3753	215060	202283	196405	255230	229073	258740	198903	218734	213645	269452	254966	1032	190288	156960	206200	230825	163831	271301	242396	210618	205577	219345	205231		244121	209812	149631	195912	189067	270726	218441	231662	228938	260919	197522		268449	186870	116747	161819	135184	191201	230321	209831	239114	247310	240282		53632	77036	32204	70819	134849	19863	74537	104920	75777	97529	179774	
19	32397,734	5	19,6	37,11	190150	189147	209815	116779	204514	251694	205996	245021	211043	208369	202953	1396	192368	188670	238971	266887	127616	229716	229347	223894	210273	229549	241343	1209	158562	188110	198403	223896	178665	239265	236615	218058	207953	219712	184379	3901	215797	202240	197070	256294	229553	259778	198685	219055	214666	271654	256039	1155	191590	157700	207645	232676	165466	273667	244094	212741	205960	222278	207577		246200	211900	152530	198531	191422	272131	220644	232288	230557	261948	200556		271640	188345	118674	163752	136519	191712	227669	212065	239152	250695	241556		54425	77616	33291	71846	137640	20594	75842	106989	76881	98063	182265	
20	34197,652	5	19,6	36,9	192339	190243	210467	117464	206013	254289	206282	247068	213075	210270	203562	1456	193593	189782	239051	268712	129082	229880	229032	226216	209409	231554	244661	1287	159095	189398	200470	225962	180112	241894	238139	217536	208651	222908	185342	3878	217181	204502	198556	256684	231480	260377	200325	219174	216035	268059	258124	1035	193349	160655	209996	235744	166642	276181	245441	214222	207734	224696	208709		248352	214012	154963	199377	191857	274184	220709	233612	231011	264545	200844		273286	190268	120556	165710	136607	194277	227676	212993	242116	251896	243916		55267	79539	33579	73628	138953	20750	76788	108076	77363	99806	183135	
21	35997,578	5	19,6	36,97	193273	191661	211946	119985	207415	252944	208951	247565	214406	213184	204832	1411	196008	191288	241742	269704	129622	232231	231235	228118	208099	233423	246103	1338	160148	189187	200645	226198	181016	242260	238232	218435	209940	224258	187814	3867	217746	204173	200140	258394	231928	263369	200625	220474	217717	270721	259390	1126	195717	161387	214479	237013	169464	276918	247185	216677	209950	225661	210485		249538	214815	154869	201800	194413	275119	222893	235605	232903	265675	202797		274691	190616	121960	167612	136458	195293	225381	215050	243396	253981	245739		56047	80275	33962	73903	141328	21028	77955	108551	78376	100812	185336	
22	37797,477	5	19,6	37,07	194040	193595	212251	120215	208375	254830	209376	247093	214837	213646	207100	1421	195278	193002	242594	271402	131473	231455	231887	227385	210452	234613	248000	1426	160620	189897	202197	226782	181942	242854	238790	218946	210279	227071	188980	4042	219982	206504	199760	259265	232947	263678	201569	220835	217056	272624	262488	1171	197205	164547	214447	239016	171245	278293	248920	217540	211411	227937	211509		251269	216185	156554	203480	196063	276658	223992	238474	234174	267802	205122		276277	193230	123634	170121	137841	197745	225404	215358	244860	255393	246978		57030	80807	34189	74542	142162	21288	78610	110307	79109	101892	186455	
23	39597,394	5	19,6	37,02	196191	195742	215155	122040	210268	256973	210890	248516	215907	216544	208643	1458	197375	193994	244287	272471	132161	232311	232745	229970	209438	236797	248096	1450	161527	191377	202922	228272	183110	244932	239724	219284	210832	228889	189820	4136	219483	206588	200720	259341	234769	264925	202059	220694	218184	276651	263780	1161	199120	165353	214305	241864	173012	280038	249888	220120	212517	229633	213721		252628	218570	158954	206347	198815	278294	225549	239083	235596	267923	205257		278732	195167	124818	170604	137667	199777	223871	216452	246021	256656	249066		57051	82313	34602	74962	143533	21546	79061	110686	79875	102673	187644	
24	41397,319	5	19,6	36,96	196382	197682	215502	123280	211159	259860	212073	250970	218108	218727	210146	1579	199481	194929	245594	272939	133457	233841	234179	231030	211402	237883	251481	1440	161273	191943	203471	228927	184876	245434	239780	220262	211049	231376	192273	4156	219847	207542	201777	261655	236026	267589	202542	222436	219444	277649	265024	1293	201574	167537	219392	245632	175016	280871	251572	221588	214631	231031	215926		256428	221522	161193	207035	201104	281967	228034	240818	237582	270744	207777		280322	198473	127621	173446	138829	201475	224999	219003	247571	260085	250954		57825	83055	35346	76957	145260	21868	80722	112331	81167	103434	189667	
25	43197,228	5	19,6	36,97	197827	198430	217600	124921	212028	262020	214067	251729	219272	221296	213460	1621	201532	197345	247153	275037	135168	235229	235107	232274	213307	239898	253458	1504	162194	192857	206226	229827	185372	246836	241253	222053	211782	233277	193605	4362	222156	208808	203222	260628	235746	270454	205112	222574	219678	279035	267451	1295	203406	169361	220838	246114	177015	283555	253625	223917	216613	232656	216526		257335	223128	161771	209821	203176	282965	229999	242400	238652	273162	208410		282931	198942	128791	175384	139416	203036	223809	220373	248182	260866	252502		58362	84170	35866	77552	146976	22341	80767	113577	83058	104876	191348	
26	44997,134	5	19,6	37,18	199204	201558	219314	127379	214272	264965	215727	251847	220988	224373	216030	1513	203085	198931	250156	275982	136745	237227	237399	233266	214718	241661	255222	1491	164022	194790	205730	231914	185686	247078	241438	222272	212464	235057	196037	4431	222594	210650	203078	262763	237496	269263	205720	223682	220450	283606	270887	1304	206570	171277	223666	248605	179263	285825	255741	225149	219173	236072	218606		259702	225194	164560	212438	207229	286417	231447	244818	240829	274133	211617		285376	202884	130744	177009	139412	205521	224469	222585	251909	263445	255597		59711	85403	36921	78638	148730	22722	83093	115477	83361	106946	193274	
27	46797,051	5	19,6	37,05	201605	204080	222452	128161	215922	265796	217960	252744	221742	226670	216592	1630	203401	200813	252359	278158	137276	238669	238662	233924	215806	243278	257115	1606	162993	195920	207690	231720	186781	248798	241849	223135	213389	237253	197072	4410	223761	210609	205086	264532	238422	270186	205651	225006	220681	287369	273243	1298	208625	174473	226274	252319	180996	289134	257270	227236	221659	239191	221252		263393	227251	167759	214303	207958	288486	233315	247871	242417	276440	213789		288556	205209	133113	180713	140375	206839	224043	225369	251721	264517	256888		60206	87205	37178	80065	150652	23103	83630	116485	83861	108278	195441	
28	48596,985	5	19,6	37,05	204027	206091	224671	130375	218135	267988	219260	254901	223393	229553	218451	1556	206607	202729	258936	280820	140092	240005	240983	236415	217674	245982	260881	1632	165417	196622	208910	234119	187942	249769	243650	223642	215294	239395	199608	4593	225187	211066	206947	265528	239856	272352	206939	225785	222543	288746	275305	1341	211360	177114	229789	254433	184513	291367	261172	229195	223760	241106	222283		266228	230751	169627	216971	211927	290232	235793	248135	244790	278628	215673		291407	207406	135135	182866	142552	209903	223490	226885	252962	268018	260794		61999	88005	37386	81157	152960	23498	85522	117872	85971	109089	196712	
29	50396,893	5	19,6	36,92	205849	208625	226606	132214	218823	269827	221427	256958	225592	230880	221117	1674	209928	206055	261752	283652	141535	241720	243336	237672	219627	248553	262165	1617	165056	197591	209693	234052	187786	251247	245525	225271	215063	242872	201691	4564	227083	212675	206850	266221	240808	273690	207395	226536	223082	292976	276912	1385	214744	178638	231387	256034	186698	294852	261956	231109	226464	242463	224531		267667	232107	171766	219901	214927	292930	237328	251460	247398	280749	217280		293769	210237	137147	185193	142369	210671	223637	228909	255528	270708	263313		62526	89178	38635	82211	154724	23755	85859	118224	85768	110785	197960	
30	52196,803	5	19,6	37	209747	209712	230133	135367	221470	272174	222611	259815	227891	234789	223772	1780	211164	208988	264437	284422	142752	244407	245028	240710	221530	250876	264509	1607	166466	198191	209843	237386	189559	252394	245612	225675	215755	245036	204238	4732	226618	214921	208347	267065	241751	274497	208624	226344	222950	294589	279874	1306	216673	181799	234855	258700	189993	297281	266323	233158	227127	246526	227275		272614	236308	174897	222158	217106	295283	241065	254134	248377	283767	220605		298100	214654	139361	188273	144037	213549	224206	230598	256991	272601	266299		63794	91223	38849	83895	157274	24179	87416	121184	88318	112592	200506	
31	53996,71	5	19,6	36,91	211561	213011	232849	137104	223465	275395	225799	261725	231027	237983	226171	1685	213807	210578	266344	287335	145666	246042	247298	243700	223337	253666	267831	1674	168413	198649	212740	236556	192968	253405	247137	226815	217263	247958	206534	4721	229337	215331	209115	269352	244083	276917	208996	225337	224252	299256	283238	1361	219997	184043	238765	262982	193133	301262	269848	236713	229356	250076	230071		274787	239926	176464	224415	221281	298167	241848	255902	250670	285692	223177		301018	216093	141329	190601	144024	215972	223786	232540	259679	275851	269556		64875	92384	39824	85151	159223	24508	91302	122427	88832	113936	203888	
32	55796,636	5	19,6	37,02	213064	214636	234715	139708	226296	278123	228945	264159	232889	240418	229082	1801	216768	213728	267525	289753	146510	249800	250265	245072	225664	255761	270062	1709	167521	200100	213727	238438	193269	254175	245895	227906	217229	250066	209120	4911	229283	215741	210791	270883	243827	278400	210269	227558	224874	300589	286566	1376	221952	186228	241465	266073	195557	301812	269837	238978	231620	252258	231677		276678	241889	178095	226381	222332	300847	244951	257744	253223	287757	224888		302786	218420	143648	193965	144726	216485	223635	234697	260417	275758	271369		65410	92749	39814	85243	160750	24890	92478	123139	89527	114470	204868	
33	57596,545	5	19,6	37,07	213334	217165	237802	141699	229392	281467	229912	265594	235239	243273	230596	1843	219423	215594	271573	291948	148054	251672	252043	247814	227666	257900	272420	1672	168574	201087	214494	240686	195901	255901	247144	228062	218665	252624	211455	5018	230874	216517	212440	271374	245395	280988	212227	227934	223928	305752	289477	1412	224404	189197	244678	268195	198278	306444	272278	240058	234026	253144	234248		279592	245310	179911	229433	226403	302775	246100	260898	255010	289950	227379		305908	221418	145521	195227	145847	218778	222703	239000	262686	279062	272764		66215	94685	40497	87055	163432	25251	93444	124750	91006	114933	206752	
34	59396,452	5	19,6	37,09	217905	219538	240736	144285	230172	284588	233338	267196	237700	246030	233909	1866	221657	218614	274869	294168	150614	254708	255727	249819	230239	261476	276109	1702	171079	203153	216318	242210	195968	256757	250377	228260	220446	255310	213714	5080	233138	219440	214039	273580	247009	282272	213205	230730	225334	310392	292160	1361	229005	191827	247447	271825	201029	308684	276620	244279	236141	257887	237263		285257	247663	182994	233260	229281	306186	251035	263227	257802	292679	229017		310726	224501	147525	198264	147742	222570	224947	241086	266224	282302	277264		67312	96239	41477	88380	166363	25710	95656	126726	92953	116683	208871	
35	61196,376	5	19,6	37,05	219198	222345	243796	146511	233968	287137	235576	271248	241141	249976	236268	1813	226246	222073	277868	297206	153081	257328	258166	253160	233247	264159	279817	1761	171617	204901	217950	242539	197456	259203	250726	231566	220009	260490	216432	5073	236231	220155	214008	275134	249401	285794	214399	229872	226474	313630	297372	1497	233073	195093	251516	275664	204375	313053	279860	246061	239636	259511	239252		288672	251422	186448	236040	233197	309951	253513	266945	262691	297028	233012		314435	228965	151334	202294	149107	223884	226091	244554	270373	287558	283374		69385	98071	41891	89734	168357	26346	97136	128952	94663	119453	213853	
36	62996,289	5	19,6	37,14	223368	225924	248398	148974	236998	290338	238549	273394	244241	254105	238535	1876	229527	224774	281524	300526	155158	259895	261584	254560	235810	267350	282004	1817	173480	207014	220318	245673	199756	260912	252003	233801	222480	262519	218329	5258	237911	223946	217708	276316	251479	286242	217088	233421	227434	318088	300917	1574	236445	198656	254518	280119	207013	316252	283268	249054	241151	264171	242191		293579	255524	189783	240529	236863	314042	258513	270271	265689	299445	236604		320716	232070	153154	205420	150132	227870	227359	248394	273166	290252	286672		70169	99903	42664	91392	171722	26793	98910	130836	95853	121369	217766	
37	64796,194	5	19,6	37,02	225682	228508	250332	150958	238785	292829	242115	276287	246572	256789	240912	1972	230874	228308	285115	303687	157579	262744	263648	256906	238600	270523	285619	1872	175412	207985	220916	247034	200029	263632	254478	234521	224169	265737	221390	5337	241593	224538	218784	279481	253557	288857	217879	235732	229827	321142	304390	1473	239440	200617	258167	283905	210678	320266	286914	251837	245891	266980	245587		296574	259690	192694	244073	240510	317556	261316	272350	268298	303445	238072		324065	234924	155466	207188	151494	231118	227506	251336	275693	294215	290172		71225	102071	43846	93349	173619	27637	100211	131657	97666	122301	218968	
38	66596,119	5	19,6	37,15	228153	231108	253334	152913	241518	298217	244420	279734	247506	259791	244061	1987	235055	231362	289207	307500	159772	264910	265899	259664	240254	273689	288987	1879	176124	210190	223415	248575	202634	264325	256185	235844	225376	268441	224744	5410	242980	226374	220837	281478	254954	291016	218138	235840	232144	324021	308217	1594	243282	203125	262327	286407	213018	323506	289641	254466	249183	271800	248524		301632	262492	193759	247884	244047	321868	264153	277491	271712	306297	243040		328789	239065	158377	211609	153604	233465	228957	255390	278979	298036	293983		72929	103779	44755	94606	175836	27846	101905	134532	98514	125411	222572	
39	68396,024	5	19,6	36,96	231551	234011	258065	156527	245598	300431	246831	282216	253026	262817	247018	1946	240399	233749	290661	309458	161779	266528	268216	262182	242847	275898	291295	1852	178458	212231	225963	252197	203583	265823	257080	237258	226866	272073	227298	5458	245377	228455	223616	283705	257706	292700	221496	237914	234355	327826	312189	1640	247855	205284	264460	289803	217008	328583	293092	257589	251341	274361	251379		304692	266620	197918	251594	248010	327459	266359	279951	273965	311035	246043		333291	243333	160698	213948	154012	236153	230875	257572	281813	301379	298752		73954	104779	44720	96693	178284	28415	103828	136215	100008	126781	225460	
40	70195,936	5	19,6	37,08	234240	236633	261175	158327	247054	303929	249616	284472	254666	266350	249537	1924	242346	237824	294835	313675	163999	270471	270934	264913	245567	279902	295013	1865	180257	213785	228119	253052	204288	268133	259829	239894	228239	274806	230345	5518	248664	231618	225535	285324	258573	294897	222612	240032	235330	330156	316054	1546	249991	208958	267317	292576	219497	330364	295547	258780	254562	276051	253916		307036	269619	201150	253852	251430	327610	268952	281858	276185	313946	247970		336502	245521	163267	216691	156080	236716	230873	260699	284711	305991	301904		74788	106445	45696	97321	182172	28963	105299	137071	100578	128308	229344	
41	71995,844	5	19,6	37,11	238158	238829	264875	161166	250535	307777	253312	287666	257909	269676	252471	2019	245444	239025	297774	317000	166902	273156	274783	267088	248421	282460	297847	2001	183001	215315	230336	255700	207471	270103	261567	240886	230256	278020	232083	5527	249874	232521	228858	286700	262310	297478	224912	240554	236803	334532	318748	1657	253322	211334	270366	295229	222978	333391	298784	262753	257140	278774	255970		311876	271679	203162	256823	254648	330099	271096	283625	279672	316200	250412		341110	248691	165707	219016	157728	240243	231767	263204	288158	309345	305810		76136	108304	46253	98624	183874	29425	105965	139535	101872	130189	230911	
42	73795,766	5	19,6	36,89	240544	242137	267164	164307	253638	311973	255174	291146	262151	270844	255447	2054	249426	244162	301863	320363	169259	276418	277458	271192	251821	285463	301240	1936	185313	217888	233626	258628	210607	273462	263294	244286	231803	280382	235182	5752	253337	234727	230142	290344	263252	299579	225832	244031	239084	339204	324297	1694	256002	213941	274666	298906	225213	336723	301029	266502	261645	284650	260354		315947	274708	205903	259941	258436	335344	274492	287762	282584	320979	255063		344912	252564	168127	223096	158683	242674	233293	266450	291222	312110	310421		77432	109764	47603	100903	185746	29659	108226	141665	103430	132005	233730	
43	75595,695	5	19,6	36,94	241493	244774	270543	167410	256280	316742	260212	293606	263909	275107	258940	2173	253359	246792	305290	324745	172344	280847	280569	274118	255074	286766	303441	2127	184887	219911	236038	260693	211978	275993	265884	245862	233256	284686	238211	5953	258139	238178	232614	292967	267382	302151	227944	245507	241533	343499	327470	1766	258937	216334	278166	304225	229152	341446	305399	268922	263841	285812	262223		318898	278363	208316	264759	263621	338681	278201	290305	287467	323851	258265		350181	255034	171344	225598	160967	244883	234723	270586	295040	316773	313676		78484	111911	47909	102228	189566	30825	110053	143425	104679	134242	236248	
44	77395,602	5	19,6	36,95	245690	247886	273532	168836	259542	319240	262080	297745	267781	279922	261616	2179	255625	249263	308817	327441	174056	282773	283051	277242	259189	291000	305716	1987	188669	223415	238892	264027	212626	276612	267540	246285	234724	287019	241557	6029	260968	239413	235567	295092	269707	304476	230968	246878	243441	347138	333617	1738	263328	219650	280622	306623	232293	342812	308390	270086	266113	289560	267043		322897	282099	210930	266601	266244	343290	280813	292473	289072	326096	262174		356043	259533	172560	229122	161133	247447	236183	274298	298419	319925	317148		79977	113827	48300	103931	190852	31133	111529	146057	105935	136035	241023	
45	79195,51	5	19,6	36,97	250813	252496	278793	171842	262394	322870	267062	301895	270896	281628	263348	2280	259420	252964	312636	331054	175995	286463	287923	280053	261485	293793	309558	2096	191209	225205	240666	266213	215784	280981	269072	249379	238081	289915	244824	6012	263054	242748	238437	298283	273063	308129	234033	250380	245593	349538	336117	1719	265604	222657	282101	309090	235292	348128	310498	273195	269578	292939	268803		325714	285013	213806	268787	269807	345421	283014	297674	293193	329890	264635		357329	262089	176407	232884	163621	249334	236792	276182	300429	325445	321597		80969	114711	49751	105075	192788	31711	112895	148393	106442	137912	242321	
