cycle number	Time [s]	CO2 %	O2 %	Temp [°C]	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
1	0	4,6	19,7	37,14	10034	7657	10912	6443	8382	11945	9575	11742	10179	8743	8483	460	11424	9378	13244	12734	5207	9971	10937	10882	8493	7838	9098	425	10168	8976	10745	9456	8965	7235	9422	9407	9178	8098	6325	496	13896	11668	12199	12223	11296	11365	9478	10535	10069	12802	10246	461	13508	9613	11669	10536	7448	10827	11736	10882	8983	9992	10314		18428	15110	9028	9741	10004	13853	11519	12629	10589	13705	10800		22994	14215	7746	10489	7773	9160	13893	12316	14248	11122	14215		4112	5700	3072	5011	5692	1984	5716	7112	6980	6978	11130	
2	1799,19	5	19,6	37,22	97368	89479	110434	54908	96831	122960	92267	114048	92237	93500	91819	543	102315	95877	122880	134950	60350	109774	99503	97818	88825	98309	104293	575	81405	92672	100557	105389	85227	94952	96806	89377	85167	91309	72988	1272	115323	104509	98875	126964	111731	112462	80931	94778	84821	112275	96097	393	97358	74932	100387	97252	71373	118822	102431	87114	73555	86049	88901		126905	108346	69887	84585	87451	122449	83692	90365	87256	116145	85299		142337	94089	52536	71463	57777	76384	97621	81116	101289	89121	98771		23704	36673	16225	30410	52809	9395	29867	41396	35595	42421	79179	
3	3599,113	5	19,6	36,94	126066	118062	143314	72393	127496	169672	131529	160201	134414	130822	126548	444	130109	128671	166119	183500	83979	150442	144141	141306	131443	143655	148567	556	102972	128228	137242	148959	114947	144689	149828	132826	130268	133836	107044	1505	141851	139724	134825	170459	150805	164867	121258	139925	125054	155696	140612	364	117339	100652	139662	134781	98446	165760	149467	123215	112014	125267	121434		150543	135901	93518	109546	117623	163729	118838	132223	129936	159793	111488		173233	109690	63656	89027	74316	105437	135490	115760	138615	126965	129132		26335	43136	18218	35843	67833	9720	38029	50654	41269	50369	96858	
4	5399,02	5	19,6	36,98	141892	134308	154252	76916	147692	187543	150732	181714	151688	139398	138684	514	142783	139375	182352	204759	90806	170196	167975	161272	150114	157278	165057	568	112852	136289	145244	163657	127279	165244	171949	152748	146054	148195	117991	1612	159344	151259	146745	191002	169708	188004	138451	159726	144000	181333	164939	383	135171	109209	147163	160455	109248	189896	176895	143873	135258	139009	136737		179898	149031	101528	131457	129971	191425	144854	158356	153790	179547	128745		202415	130273	74630	108572	91148	129854	169060	142106	167905	159102	161250		32430	49628	19563	43637	84496	11298	47634	65455	49478	57800	116791	
5	7198,93	5	19,6	37,13	155011	146688	168598	85744	161788	202505	167554	200971	170237	155146	154458	612	155220	151115	197894	222860	98891	185891	187498	180713	166988	174423	183650	623	125464	149455	159313	181596	139827	186645	192553	172778	165066	165080	132228	1916	173846	164383	159266	207549	184370	206242	154915	177308	164769	199669	186302	428	148540	120217	161445	176512	122247	210001	197414	162341	152771	156484	152892		196854	165189	112841	145631	143594	211639	165353	177714	175040	199535	144010		220189	144186	84074	119881	102629	140619	187880	160793	187925	177751	179075		36898	55429	21917	48766	95808	13170	54422	74062	56628	66410	128930	
6	8998,857	5	19,6	37,04	163510	155443	178200	93016	173119	214787	178258	213541	182430	165743	164937	647	164161	159564	205268	234919	105454	197696	200094	193347	178714	185927	194633	708	133985	158600	169418	192060	148680	200043	205571	185016	177382	175890	142781	1982	183707	173663	169386	219071	194326	218978	166930	188954	177814	212831	199301	466	157401	127674	171053	187951	130948	224014	208785	173150	165018	169272	164134		205773	173297	120168	155265	151886	224097	177302	190724	191550	212016	154481		228812	151570	89891	127967	108298	146724	199972	171432	199097	189191	189556		39785	59760	24020	53434	104256	14489	58973	80115	61453	72411	139139	
7	10798,762	5	19,6	36,95	170826	162813	185931	96928	180117	221221	185607	220733	187816	173181	171380	594	169870	166192	212582	243772	110080	204968	206460	201977	186390	193981	203231	778	139831	163161	175773	200469	155753	210463	215711	194400	185441	183836	151081	2234	190923	180733	176112	229576	205565	227862	175102	197204	187226	222228	208783	469	162363	133051	176995	196536	136902	233244	217283	179939	172942	177669	171018		213717	180778	126126	162954	159540	232520	186089	199586	200348	220526	161644		235628	156840	94237	134085	114867	153998	207951	181252	207975	197197	198647		42308	62813	25260	57228	109893	15437	63048	85251	63795	76082	145815	
8	12599,109	5	19,6	37,04	161774	157191	171558	89186	167550	205054	170784	209102	179107	168846	172136	720	163267	159205	203843	225988	102606	191489	193352	191079	176939	194673	206748	828	134973	158839	168226	187446	147530	195855	201889	182261	177996	184272	155007	2370	189021	173734	166250	216134	193518	217618	166652	187523	180877	213273	217447	622	153139	123347	160996	179301	128878	219301	196697	167301	165589	180075	167366		199184	169875	118664	151330	149037	217615	169825	185869	187363	217223	157808		224066	150567	88949	123231	107419	152828	191909	165763	193293	196208	190830		40725	59531	23242	51410	99024	13349	56376	76466	58650	73025	141864	
9	14398,615	5	19,6	37,06	168257	162912	185406	97961	180895	222305	183321	223486	186502	180303	180031	786	169811	167191	210556	244113	111654	203375	204436	200178	186675	202932	211157	869	142709	170257	180134	202107	159919	212886	217835	196318	189411	191392	159519	2511	196145	183352	177348	229620	208460	233173	178970	199923	189154	226589	222025	592	164561	133504	177257	200015	140768	239541	216764	180967	175684	186474	180253		213754	181300	127993	168911	162795	235595	184593	201633	201261	228622	170814		236819	158698	96185	134772	117613	163636	209514	181753	208111	212143	206652		43645	63896	25663	58459	112875	15535	63941	85637	64062	80915	153994	
10	16198,522	5	19,6	37,09	173611	170512	188440	101082	184813	230290	189322	227653	192956	185733	184089	809	175250	171615	218763	246825	113418	210142	210916	206501	192600	208174	216601	898	143843	173221	182411	204790	163641	218418	222916	200288	192928	197970	164058	2729	201385	188110	182932	234887	213383	238435	183116	205726	196581	236994	229186	608	171598	139800	184852	205715	145646	247707	222989	187365	182918	193903	185973		221120	189265	132538	174061	168662	244638	193385	209823	208608	234930	176412		244705	165886	100329	141847	121735	170486	216716	190125	216833	221952	215037		45605	66952	26819	60831	117584	16145	67344	90289	66834	84897	159444	
