Method name: INIMS_ExiCyToxAssay_RTG_Lars_Binkle_790_254_																																																	
Application: SparkControl				1.1																																													
Device: SPARK 10M				Serial number: 1511007580																																													
Firmware: 				LUM:V4.0.22|ABS:V4.2.9|ABS_MEX:V4.1.7|MTP:V9.0.18|FLUOR:V4.2.12|GCM:V3.0.2																																													
 																																																	
Date: 				2017-06-27																																													
Time: 				10:57																																													
System 				PC-2WPML82																																													
User 				NT-AUTORITÄT\NETZWERKDIENST																																													
Plate 				[GRE96fw_chimney] - Greiner 96 Flat White [GRE96fw_chimney]																																													
Lid lifter 				Removable lid 																																													
Humidity Cassette 				No humidity cassette 																																													
																																																	
List of actions in this measurement script:																																																	
Plate																																																	
	Temperature																																																
	Gas 																																																
	User intervention																																																
	Kinetic																																																
		Luminescence				RTG																																											
		Condition																																															
			User intervention																																														
																																																	
Plate layout																																																	
Name				GRE96fw_chimney																																													
																																																	
A1																																																	
A2	245	513	577	573	601	658	814	1088	1208	806	723	692	743	713	734	745	686	810	790	788	724	747	811	832	814	771	833	831	849	877	828	829	903	807	859	862	876	922	958	862	864	838	942	932	968	914	1016	917	911
A3	218	490	652	625	617	624	816	1201	1223	926	766	796	768	787	749	791	848	774	796	857	815	832	916	872	920	861	878	910	853	891	950	953	986	954	907	980	985	986	922	943	1000	999	982	918	960	1034	1007	1001	985
A4	264	479	613	621	684	614	861	1174	1188	876	830	833	742	799	776	851	805	810	778	877	866	811	879	838	856	856	829	983	919	885	985	936	903	921	946	1005	937	962	885	983	997	990	977	1031	1012	973	1002	969	1052
A5	214	471	571	596	661	656	802	1158	1236	900	798	912	759	814	834	838	827	796	833	814	822	798	838	908	932	899	925	892	898	934	982	936	962	939	1042	958	1031	997	990	970	966	1108	1112	1059	1048	1040	996	1061	1137
A6																																																	
A7																																																	
A8																																																	
A9																																																	
A10																																																	
A11																																																	
A12																																																	
B1																																																	
B2	391	9348	16934	21013	22577	23180	24262	27891	30562	26988	26911	26984	28760	30112	31081	32116	32792	33622	33783	33883	34710	34550	35641	34927	34869	35514	35671	35556	35686	35576	35914	36035	35646	36361	36001	37005	36433	36479	36644	37753	37532	37428	37197	37795	38093	37526	38802	38464	39354
B3	472	10500	18686	22511	24488	25256	26158	30056	32612	27766	27477	26969	28016	30124	31282	32394	32797	33548	34208	34193	34327	34722	35114	34933	35057	34984	34937	35274	34597	34324	34405	34406	34199	34899	35997	36296	35418	35662	35566	35388	35684	35652	35654	34373	35077	35059	35149	35493	35960
B4	462	5378	10286	13393	16969	19340	21143	24479	27009	25380	25463	26070	26991	27682	28183	29030	28683	29530	29819	30682	30560	30851	31645	31826	32211	32706	32907	32940	33095	33368	33674	33883	33009	33857	33703	34662	34155	33875	34717	35048	33807	34367	34784	35426	35501	35496	35965	35355	35472
B5	408	5706	10785	14913	18047	20230	21647	24652	27883	26222	25912	26254	27631	27990	28756	29230	29573	29853	30545	30474	30892	31143	31093	31409	31426	31667	32406	32360	32528	32592	32759	32045	32418	32890	33391	33260	32759	33287	33517	32828	33349	33701	34218	33504	33684	34345	34654	33989	34325
B6	460	4928	9378	13350	16804	18974	21022	24391	27084	25601	25867	27464	26878	27419	26846	26404	25264	24567	24287	23716	24096	23896	24175	24525	24604	24491	24729	25362	25296	25459	25933	25480	25763	26038	26063	25975	26163	26071	26404	26659	26571	26460	26395	26542	26586	26702	26925	26858	26726
B7	423	5119	10077	13938	17625	19932	22455	25376	28047	26740	26471	27499	27688	27570	27890	27060	26382	25238	24552	24759	25280	24906	24716	25095	25529	25411	25675	25841	26004	26241	26251	26266	26536	26561	26457	26371	26732	26771	26491	27142	26635	26695	26988	26967	26784	26954	27060	26923	27203
B8	497	6335	10872	14181	16402	18178	19869	23185	25087	23721	24293	25157	25810	26884	27536	27937	28334	28589	29206	29375	29525	29790	30347	30665	30932	31079	31558	31455	31583	31642	31592	31717	32086	32011	32334	32344	32234	31998	32392	32193	32516	32640	32394	32701	32810	32820	32848	33209	32965
B9	451	6540	11542	15152	17333	19248	21163	24164	26313	24642	24879	25625	26832	26733	27442	27706	28102	28548	28690	29088	29340	29514	29605	30254	30384	30313	30770	30657	30673	31140	30921	30685	31217	31068	31063	31139	31481	31125	31339	31322	31315	31852	32004	31315	31488	31420	31893	31849	31383
B10	452	5568	9864	12678	14936	17284	18799	21702	23592	21944	22948	24971	24424	24390	24265	24009	23427	22547	22324	22363	22611	22244	22328	22435	22972	22812	23283	23347	23154	23340	23123	23233	23105	23778	23261	23295	23616	23488	23505	23972	23392	23877	23733	23862	23732	23785	24029	23617	23756
B11	363	4960	8814	11752	14039	16194	18035	20520	22899	21240	22025	24476	23499	23733	23332	23618	23289	22911	22592	22248	22200	22677	22630	22691	22546	23024	23506	22907	23107	23490	23276	23917	23622	23719	23674	23800	23913	24216	23336	24173	24293	23961	24011	24080	24364	24201	23919	24405	24382
B12																																																	
C1																																																	
C2	549	11371	19687	23538	24872	25930	26877	30328	32215	28701	29323	28826	29482	29042	27992	27127	26179	25418	25070	24583	24470	24156	24139	24031	23597	23600	23772	24203	23502	23470	23676	23832	24047	23977	24139	24089	24196	24330	24437	24102	24325	24673	24545	24685	24214	24078	24635	24929	24644
C3	507	11824	19521	23583	25625	26178	26912	29557	30981	28172	28434	28426	29606	30514	31426	31606	32440	32616	32690	33279	33474	34280	34169	34194	34523	34755	35338	35147	35020	35449	34677	35592	34726	36104	36462	36379	36971	37061	37097	36558	36843	37425	37775	37680	37600	36780	36803	37413	36924
C4	618	5794	11244	15144	18595	20785	22627	25939	28352	26272	26577	26511	27354	27445	27186	28613	28891	29224	29358	29106	29159	29901	30021	30404	30100	29576	30406	30942	30698	30162	31024	30767	30628	30941	30374	30897	31458	30798	31163	31211	31159	31260	31033	31185	31294	31800	31754	31280	32007
C5	458	5951	11265	15500	18756	20625	22945	25068	27670	26203	25672	25459	26909	26800	27195	27630	27803	27867	28207	28530	28671	29040	29172	28872	29096	29401	29857	30112	29287	29787	30104	29749	30101	30092	30521	29888	30162	29971	30027	30677	30380	30549	30751	30496	30473	31108	30230	30867	31268
C6	625	6851	12827	17548	21325	23922	26187	29191	32306	29884	30403	32434	31404	30807	30017	29778	27634	26236	25723	24540	24343	24800	24493	24747	24925	24642	24712	24778	24775	25098	24688	24898	24794	24960	25119	24778	24828	24798	24942	24701	25128	24995	25260	25234	25489	24700	25476	24784	24957
C7	500	7249	13460	17963	21713	24541	26609	29349	32233	30149	30103	30781	29519	29678	29007	27922	26481	25264	24386	24068	23690	23546	23435	23384	23458	23413	23512	23726	23345	23257	23807	23348	23668	23554	23660	23560	23413	23944	23617	23984	23715	23884	23888	24069	23856	23345	23727	24200	23714
C8	650	6279	10854	13644	15785	18039	18978	21390	23186	21569	21804	22019	22441	22472	23248	23293	23405	23431	23997	23635	23826	24409	24182	24416	24733	24555	24947	25169	24807	25060	24972	25117	25200	25472	25134	25318	25151	25714	25370	25295	25291	25567	25745	25824	25716	26040	25555	26086	25528
C9	545	7972	12975	16265	18870	20329	22479	24766	26581	25040	25324	25144	25333	26095	26729	26906	26581	27042	27118	27635	27700	27457	27833	27718	27935	28418	28016	28252	28617	28451	28489	28729	28451	28722	28858	28993	28936	29151	28906	28914	29248	28960	29054	29434	29371	29492	29490	29506	29284
C10	629	6218	10543	13518	15910	18071	19574	22021	23550	21964	22060	24780	23725	23012	22758	22182	21373	20400	19936	19716	19725	19594	19811	19695	19623	19283	19432	19625	19462	19676	19757	19806	19759	19535	19629	19910	19633	19738	19609	19793	19825	19447	19328	19712	20063	19800	19922	19562	19882
C11	446	5321	9523	12274	14727	16723	18559	21431	23061	21686	22400	24726	23747	24219	23626	23565	22904	22613	22376	22422	22233	22354	22254	22710	22585	22411	23134	22851	23148	23299	23714	23795	23598	23669	23672	23826	23642	23523	24049	24418	23693	24022	24022	24030	24171	23923	24087	24165	24266
C12																																																	
D1																																																	
D2	639	12249	21265	26769	27482	28177	28504	32814	37034	30756	31299	29363	29686	29377	28702	28524	27143	26253	25920	25831	25535	25606	26189	26259	26578	26876	27217	27328	27723	27352	27513	27463	27584	28012	28532	28855	28777	28509	28704	28917	28882	29618	29681	29697	29191	29751	29478	30100	30445
D3	574	12609	21550	24548	25936	26471	27141	29696	31839	28630	28996	28221	26930	27002	26745	26023	25272	23927	24183	23556	23694	23414	23794	24193	23892	23893	23861	24481	24184	24255	24312	24282	24216	24271	24663	24135	24636	24744	24591	24807	25093	24496	24515	25027	24875	25198	25256	24921	24671
D4	808	13614	23416	27248	29339	30828	32375	35238	38135	35472	35720	35692	36879	37040	37299	38422	38659	38900	38642	39408	39324	39712	40175	39971	39938	40648	40365	40584	41065	41110	40952	41137	41191	41120	41592	41886	41951	42071	41497	42387	41509	41462	41990	42170	42211	42279	42545	42381	42597
D5	618	15110	25015	29854	32823	33783	35167	38449	40686	38328	38671	37402	38404	39321	39130	40095	40165	40678	40457	41299	40818	41233	40189	41921	41002	41872	41366	42008	41727	41961	42009	41498	42673	42356	43094	42608	42454	42596	42424	42781	43213	43324	42167	42825	42966	43085	43211	42911	43208
D6	716	12863	21466	25860	27464	29005	30138	32926	35191	32860	32826	33129	29643	28678	27862	26938	24833	22598	21141	20311	20055	19387	19500	19543	19624	19612	19431	19710	19586	19416	19735	19504	19355	19374	19521	19752	19550	19294	19513	19446	19250	19321	19324	19424	19164	19229	19365	19207	19078
D7	582	14424	24095	28758	30656	32308	33005	35647	38246	35854	35676	34973	33682	32952	32712	31791	30045	28554	27482	27195	27056	26799	26743	27219	26818	26759	26764	26898	27018	26995	27143	27219	27196	27198	27051	27204	27193	27013	27004	26958	27384	27465	27270	27368	27682	27669	27759	27682	27567
D8	763	12404	20807	25031	26969	28553	30187	33392	35755	33605	34086	34033	34550	35240	35582	36277	36349	36454	36976	37123	37386	37522	37837	38134	37751	38425	37489	39266	37770	38409	39158	38535	39064	39318	39104	39272	39627	38367	39464	39064	38885	40033	39568	39068	39796	40201	39121	39694	39724
D9	562	12141	20831	24827	26683	28368	29642	32529	34369	32332	32205	31730	32665	33075	33801	33682	34155	33954	34813	33946	35690	34382	35303	35455	34775	36190	35500	35225	35973	35959	35377	36266	36435	35515	36758	35755	36408	36857	35727	36228	37092	35820	36633	36866	36132	36708	37079	36395	37033
D10	693	10755	18214	21691	23715	24843	26616	29447	31241	28979	29560	30041	27747	27412	26824	25918	24805	23363	22077	21606	21402	21339	21377	21007	21468	21085	21160	21641	21460	21534	21647	21658	21440	21275	21508	21521	21602	21592	21418	22000	21949	21766	21907	21967	21894	22049	22022	21830	22344
D11	434	8638	16010	19999	21002	22690	24081	27149	30077	27448	28319	29554	28789	28811	28708	28599	28445	27767	27355	27105	26906	27548	27920	28380	28499	28159	29430	28839	29843	29435	29845	29862	30366	29773	30320	30403	30293	31068	30050	30797	30591	30644	31509	30635	31073	31438	31561	31772	31576
D12																																																	
E1																																																	
