Method name: masterkurs2018_n2a_undifferentiated																																														
Application: SparkControl				1.1																																										
Device: SPARK 10M				Serial number: 1511007580																																										
Firmware: 				LUM:V4.0.22|ABS:V4.2.9|ABS_MEX:V4.1.7|MTP:V9.0.18|FLUOR:V4.2.12|GCM:V3.0.2																																										
 																																														
Date: 				2018-01-10																																										
Time: 				11:00																																										
System 				PC-2WPML82																																										
User 				NT-AUTORITÄT\NETZWERKDIENST																																										
Plate 				[GRE96fw_chimney] - Greiner 96 Flat White [GRE96fw_chimney]																																										
Lid lifter 				Removable lid 																																										
Humidity Cassette 				No humidity cassette 																																										
																																														
List of actions in this measurement script:																																														
Plate																																														
	Temperature																																													
	Gas 																																													
	User intervention																																													
	Kinetic																																													
		Luminescence				RTG																																								
		Condition																																												
			User intervention																																											
																																														
Plate layout																																														
Name				GRE96fw_chimney																																										
																																														
A9	10179	92237	134414	151688	170237	182430	187816	179107	186502	192956	198397	199618	202887	204041	207678	208814	209586	210974	211043	213075	214406	214837	215907	218108	219272	220988	221742	223393	225592	227891	231027	232889	235239	237700	241141	244241	246572	247506	253026	254666	257909	262151	263909	267781	270896	274987
A10	8743	93500	130822	139398	155146	165743	173181	168846	180303	185733	189954	193020	195912	197516	200790	203326	205099	206738	208369	210270	213184	213646	216544	218727	221296	224373	226670	229553	230880	234789	237983	240418	243273	246030	249976	254105	256789	259791	262817	266350	269676	270844	275107	279922	281628	284112
A11	8483	91819	126548	138684	154458	164937	171380	172136	180031	184089	187002	192013	192900	194739	196402	198921	199191	200945	202953	203562	204832	207100	208643	210146	213460	216030	216592	218451	221117	223772	226171	229082	230596	233909	236268	238535	240912	244061	247018	249537	252471	255447	258940	261616	263348	266614
A12	460	543	444	514	612	647	594	720	786	809	888	962	1013	1064	1112	1125	1270	1273	1396	1456	1411	1421	1458	1579	1621	1513	1630	1556	1674	1780	1685	1801	1843	1866	1813	1876	1972	1987	1946	1924	2019	2054	2173	2179	2280	2262
B1	11424	102315	130109	142783	155220	164161	169870	163267	169811	175250	178515	181584	183033	185150	186706	190165	189946	191007	192368	193593	196008	195278	197375	199481	201532	203085	203401	206607	209928	211164	213807	216768	219423	221657	226246	229527	230874	235055	240399	242346	245444	249426	253359	255625	259420	262935
B2	9378	95877	128671	139375	151115	159564	166192	159205	167191	171615	174262	177030	179650	181599	183261	185036	186318	187115	188670	189782	191288	193002	193994	194929	197345	198931	200813	202729	206055	208988	210578	213728	215594	218614	222073	224774	228308	231362	233749	237824	239025	244162	246792	249263	252964	256320
B3	13244	122880	166119	182352	197894	205268	212582	203843	210556	218763	223075	226621	228521	231563	234108	235529	236421	236890	238971	239051	241742	242594	244287	245594	247153	250156	252359	258936	261752	264437	266344	267525	271573	274869	277868	281524	285115	289207	290661	294835	297774	301863	305290	308817	312636	316944
B4	12734	134950	183500	204759	222860	234919	243772	225988	244113	246825	252700	255395	258119	260969	262407	263930	264835	265881	266887	268712	269704	271402	272471	272939	275037	275982	278158	280820	283652	284422	287335	289753	291948	294168	297206	300526	303687	307500	309458	313675	317000	320363	324745	327441	331054	335664
B5	5207	60350	83979	90806	98891	105454	110080	102606	111654	113418	116329	117656	119255	122355	123000	125041	125514	126772	127616	129082	129622	131473	132161	133457	135168	136745	137276	140092	141535	142752	145666	146510	148054	150614	153081	155158	157579	159772	161779	163999	166902	169259	172344	174056	175995	179526
B6	9971	109774	150442	170196	185891	197696	204968	191489	203375	210142	214797	217628	220261	222765	223970	226611	227234	228490	229716	229880	232231	231455	232311	233841	235229	237227	238669	240005	241720	244407	246042	249800	251672	254708	257328	259895	262744	264910	266528	270471	273156	276418	280847	282773	286463	289192
B7	10937	99503	144141	167975	187498	200094	206460	193352	204436	210916	215633	218102	221038	222944	224979	227753	227527	228601	229347	229032	231235	231887	232745	234179	235107	237399	238662	240983	243336	245028	247298	250265	252043	255727	258166	261584	263648	265899	268216	270934	274783	277458	280569	283051	287923	289652
B8	10882	97818	141306	161272	180713	193347	201977	191079	200178	206501	210914	214193	216763	218796	221880	222001	224393	224564	223894	226216	228118	227385	229970	231030	232274	233266	233924	236415	237672	240710	243700	245072	247814	249819	253160	254560	256906	259664	262182	264913	267088	271192	274118	277242	280053	282662
B9	8493	88825	131443	150114	166988	178714	186390	176939	186675	192600	197151	199568	201593	204040	207068	208505	208840	209478	210273	209409	208099	210452	209438	211402	213307	214718	215806	217674	219627	221530	223337	225664	227666	230239	233247	235810	238600	240254	242847	245567	248421	251821	255074	259189	261485	263860
B10	7838	98309	143655	157278	174423	185927	193981	194673	202932	208174	212840	216436	218249	220252	222450	226231	226564	227839	229549	231554	233423	234613	236797	237883	239898	241661	243278	245982	248553	250876	253666	255761	257900	261476	264159	267350	270523	273689	275898	279902	282460	285463	286766	291000	293793	295900
B11	9098	104293	148567	165057	183650	194633	203231	206748	211157	216601	222116	225472	228530	231888	234769	236031	238190	238869	241343	244661	246103	248000	248096	251481	253458	255222	257115	260881	262165	264509	267831	270062	272420	276109	279817	282004	285619	288987	291295	295013	297847	301240	303441	305716	309558	313244
B12	425	575	556	568	623	708	778	828	869	898	973	919	1015	1160	1134	1156	1285	1290	1209	1287	1338	1426	1450	1440	1504	1491	1606	1632	1617	1607	1674	1709	1672	1702	1761	1817	1872	1879	1852	1865	2001	1936	2127	1987	2096	2114
C1	10168	81405	102972	112852	125464	133985	139831	134973	142709	143843	146371	149566	151429	152594	155424	155588	156738	156845	158562	159095	160148	160620	161527	161273	162194	164022	162993	165417	165056	166466	168413	167521	168574	171079	171617	173480	175412	176124	178458	180257	183001	185313	184887	188669	191209	192351
C2	8976	92672	128228	136289	149455	158600	163161	158839	170257	173221	176564	177566	180230	180667	184225	185184	185954	186976	188110	189398	189187	189897	191377	191943	192857	194790	195920	196622	197591	198191	198649	200100	201087	203153	204901	207014	207985	210190	212231	213785	215315	217888	219911	223415	225205	228664
